ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
256,572,329050,6212,329050
256,572,329050,6212,329050
256,572,329700,6212,329700
256,572,329700,6212,329700
257,574,330700,6212,330700
257,574,330700,6212,330700
257,574,330920,6212,330920
257,574,331390,6212,331390
257,574,331390,6212,331390
257,574,331390,6212,331390
258,576,332200,6212,332200
258,576,333010,6212,333010
259,578,333820,6212,333820
259,578,334630,6212,334630
260,580,335440,6212,335440
260,580,335910,6212,335910
260,580,336380,6212,336380
260,580,336850,6212,336850
261,582,337660,6212,337660
262,586,338130,6212,338130
262,586,338130,6212,338130
262,586,338130,6212,338130
262,586,338940,6212,338940
263,588,339750,6212,339750
263,588,340220,6212,340220
264,590,341030,6212,341030
264,590,341840,6212,341840
264,590,341840,6212,341840
264,590,342110,6212,342110
265,592,342920,6212,342920
265,592,343730,6212,343730
265,592,344200,6212,344200
265,592,344670,6212,344670
265,592,345140,6212,345140
265,592,345790,6212,345790
265,592,346260,6212,346260
265,592,346630,6212,346630
266,594,347280,6212,347280
266,594,347750,6212,347750
266,594,348560,6212,348560
267,596,349210,6212,349210
267,596,350210,6212,350210
268,600,350680,6212,350680
269,602,351270,6212,351270
269,602,351920,6212,351920
269,602,352380,6212,352380
269,602,353190,6212,353190
269,602,353190,6212,353190
269,602,353650,6212,353650
269,602,354460,6212,354460
269,602,354930,6212,354930
269,602,355250,6212,355250
270,604,356250,6212,356250
270,604,356470,6212,356470
270,604,356940,6212,356940
271,606,357530,6212,357530
271,606,357530,6212,357530
271,606,358010,6212,358010
271,606,359010,6212,359010
272,610,359480,6212,359480
272,610,359480,6212,359480
272,610,360030,6212,360030
272,610,360030,6212,360030
272,610,361030,6212,361030
272,610,361030,6212,361030
272,610,361500,6212,361500
272,610,362310,6212,362310
273,612,362900,6212,362900
273,612,363550,6212,363550
273,612,363780,6212,363780
274,614,364780,6212,364780
274,614,364780,6212,364780
275,618,365250,6212,365250
275,618,365720,6212,365720
275,618,365940,6212,365940
275,618,366490,6212,366490
276,626,374490,6212,374490
277,628,375080,6212,375080
277,628,376080,6212,376080
277,628,376310,6212,376310
277,628,377120,6212,377120
277,628,377120,6212,377120
277,628,377120,6212,377120
277,628,377440,6212,377440
277,628,378250,6212,378250
278,630,378900,6212,378900
278,630,379220,6212,379220
278,630,380030,6212,380030
278,630,380350,6212,380350
279,632,381160,6212,381160
279,632,382160,6212,382160
279,632,382480,6212,382480
279,632,382940,6212,382940
280,634,383750,6212,383750
280,634,384070,6212,384070
280,634,384540,6212,384540
280,634,384700,6212,384700
280,634,385290,6212,385290
281,636,386100,6212,386100
281,636,387100,6212,387100
281,636,387100,6212,387100
281,636,388100,6212,388100
282,638,388910,6212,388910
282,638,389560,6212,389560
282,638,389780,6212,389780
283,640,390430,6212,390430
283,640,391080,6212,391080
284,642,391550,6212,391550
284,642,392360,6212,392360
285,644,393010,6212,393010
285,644,393330,6212,393330
285,644,393650,6212,393650
285,644,394460,6212,394460
285,644,394930,6212,394930
286,646,395740,6212,395740
286,646,396550,6212,396550
287,648,397200,6212,397200
287,648,398010,6212,398010
288,650,398820,6212,398820
288,650,399630,6212,399630
288,650,399630,6212,399630
288,650,399950,6212,399950
289,652,400760,6212,400760
289,652,401230,6212,401230
290,654,402040,6212,402040
290,654,402360,6212,402360
290,654,403010,6212,403010
290,654,403330,6212,403330
290,654,403800,6212,403800
291,656,404800,6212,404800
291,656,405260,6212,405260
292,658,406260,6212,406260
292,658,406260,6212,406260
292,658,407070,6212,407070
293,660,407720,6212,407720
293,660,408720,6212,408720
293,660,409190,6212,409190
294,662,410000,6212,410000
294,662,410810,6212,410810
295,664,411620,6212,411620
295,664,412090,6212,412090
296,666,412900,6212,412900
296,666,412900,6212,412900
296,666,412900,6212,412900
296,666,413220,6212,413220
296,666,413690,6212,413690
296,666,414500,6212,414500
297,668,415500,6212,415500
297,668,416310,6212,416310
297,668,416310,6212,416310
298,670,417120,6212,417120
298,670,417120,6212,417120
298,670,417590,6212,417590
298,670,417590,6212,417590
299,672,418400,6212,418400
299,672,419210,6212,419210
299,672,419580,6212,419580
300,674,420390,6212,420390
300,674,421040,6212,421040
301,678,421510,6212,421510
301,678,421980,6212,421980
301,678,422450,6212,422450
301,678,422930,6212,422930
301,678,423740,6212,423740
301,678,424390,6212,424390
301,678,424620,6212,424620
302,680,425090,6212,425090
302,680,425560,6212,425560
302,680,426030,6212,426030
302,680,426840,6212,426840
302,680,427310,6212,427310
302,680,427310,6212,427310
303,682,428310,6212,428310
303,682,428780,6212,428780
304,684,429430,6212,429430
304,684,430240,6212,430240
304,684,430700,6212,430700
304,684,431020,6212,431020
305,686,431830,6212,431830
305,686,431830,6212,431830
305,686,432150,6212,432150
305,686,432470,6212,432470
305,686,432950,6212,432950
305,686,433270,6212,433270
306,688,434080,6212,434080
306,688,434890,6212,434890
307,690,435540,6212,435540
307,690,435860,6212,435860
307,690,436860,6212,436860
307,690,436860,6212,436860
308,692,437670,6212,437670
308,692,438220,6212,438220
308,692,438690,6212,438690
309,694,439500,6212,439500
309,694,439820,6212,439820
309,694,440140,6212,440140
309,694,440300,6212,440300
309,694,440760,6212,440760
309,694,440920,6212,440920
310,696,441570,6212,441570
310,696,442040,6212,442040
310,696,442040,6212,442040
310,696,442510,6212,442510
310,696,442970,6212,442970
311,698,443780,6212,443780
311,698,444780,6212,444780
312,700,445590,6212,445590
312,700,445590,6212,445590
312,700,445590,6212,445590
312,700,446400,6212,446400
312,700,446630,6212,446630
312,700,446740,6212,446740
313,702,447390,6212,447390
313,702,447860,6212,447860
313,702,448670,6212,448670
314,704,449670,6212,449670
314,704,450140,6212,450140
314,704,451140,6212,451140
315,706,452140,6212,452140
315,706,452950,6212,452950
316,708,453760,6212,453760
316,708,454080,6212,454080
316,708,454890,6212,454890
317,710,455700,6212,455700
317,710,456700,6212,456700
318,712,457170,6212,457170
318,712,457170,6212,457170
318,712,457170,6212,457170
318,712,457170,6212,457170
318,712,457760,6212,457760
319,714,458570,6212,458570
319,714,459040,6212,459040
319,714,460040,6212,460040
320,716,460850,6212,460850
320,716,461660,6212,461660
321,718,462310,6212,462310
321,718,462310,6212,462310
321,718,462540,6212,462540
321,718,463190,6212,463190
322,720,464190,6212,464190
322,720,465000,6212,465000
323,722,465810,6212,465810
323,722,466810,6212,466810
324,724,467280,6212,467280
324,724,468090,6212,468090
325,726,469090,6212,469090
325,726,469090,6212,469090
325,726,469090,6212,469090
325,726,469740,6212,469740
325,726,470210,6212,470210
326,728,470680,6212,470680
326,728,471490,6212,471490
326,728,471810,6212,471810
326,728,471810,6212,471810
326,728,472130,6212,472130
327,730,473130,6212,473130
327,730,473450,6212,473450
327,730,474260,6212,474260
327,730,474730,6212,474730
328,732,475730,6212,475730
328,732,476540,6212,476540
329,734,477010,6212,477010
329,734,477820,6212,477820
330,736,478630,6212,478630
330,736,479100,6212,479100
330,736,479910,6212,479910
330,736,480140,6212,480140
331,738,480950,6212,480950
331,738,481760,6212,481760
332,740,482230,6212,482230
332,740,482460,6212,482460
332,740,482930,6212,482930
332,740,483400,6212,483400
333,742,483990,6212,483990
333,742,484220,6212,484220
333,742,484690,6212,484690
333,742,485500,6212,485500
333,742,485730,6212,485730
334,744,486730,6212,486730
334,744,487540,6212,487540
335,748,488010,6212,488010
335,748,488490,6212,488490
335,748,488490,6212,488490
335,748,489140,6212,489140
335,748,489950,6212,489950
335,748,490760,6212,490760
336,750,491230,6212,491230
336,750,492230,6212,492230
337,752,493040,6212,493040
337,752,493040,6212,493040
337,752,493590,6212,493590
338,754,494400,6212,494400
338,754,495210,6212,495210
339,756,496020,6212,496020
339,756,496830,6212,496830
340,758,497640,6212,497640
340,758,498290,6212,498290
341,760,498880,6212,498880
341,760,498880,6212,498880
341,760,499350,6212,499350
341,760,499350,6212,499350
341,760,500160,6212,500160
341,760,500480,6212,500480
342,762,501290,6212,501290
342,762,501610,6212,501610
342,762,502200,6212,502200
342,762,502520,6212,502520
343,764,503520,6212,503520
343,764,504330,6212,504330
343,764,504330,6212,504330
343,764,504560,6212,504560
344,766,505030,6212,505030
344,766,505580,6212,505580
