ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
120,512,445320,6212,445320
120,512,445690,6212,445690
120,512,446160,6212,446160
120,512,446630,6212,446630
121,514,447440,6212,447440
121,514,447900,6212,447900
122,518,448710,6212,448710
122,518,449360,6212,449360
122,518,450360,6212,450360
122,518,451170,6212,451170
122,518,451540,6212,451540
123,526,452540,6212,452540
123,526,453540,6212,453540
123,526,453540,6212,453540
123,526,454350,6212,454350
123,526,455350,6212,455350
123,526,455670,6212,455670
123,526,456320,6212,456320
123,526,456790,6212,456790
123,526,457380,6212,457380
123,526,457540,6212,457540
123,526,458350,6212,458350
124,534,459350,6212,459350
124,534,460160,6212,460160
124,534,461160,6212,461160
124,534,461160,6212,461160
124,534,461630,6212,461630
124,534,462100,6212,462100
124,534,463100,6212,463100
124,534,463570,6212,463570
124,534,463800,6212,463800
124,534,464120,6212,464120
124,534,464590,6212,464590
124,534,465400,6212,465400
124,534,466210,6212,466210
124,534,466210,6212,466210
124,534,466210,6212,466210
125,536,467020,6212,467020
125,536,467570,6212,467570
125,536,468030,6212,468030
126,544,469030,6212,469030
126,544,469500,6212,469500
126,544,469500,6212,469500
126,544,470310,6212,470310
126,544,470310,6212,470310
126,544,470780,6212,470780
126,544,470780,6212,470780
126,544,471430,6212,471430
126,544,472430,6212,472430
126,544,472890,6212,472890
126,544,473360,6212,473360
126,544,473830,6212,473830
126,544,474640,6212,474640
127,552,475450,6212,475450
127,552,476260,6212,476260
127,552,477070,6212,477070
127,552,477390,6212,477390
127,552,477710,6212,477710
127,552,478520,6212,478520
127,552,478990,6212,478990
127,552,479540,6212,479540
127,552,480540,6212,480540
127,552,481350,6212,481350
127,552,481670,6212,481670
127,552,481670,6212,481670
127,552,482670,6212,482670
128,554,483670,6212,483670
128,554,484130,6212,484130
128,554,484600,6212,484600
129,562,485410,6212,485410
129,562,485730,6212,485730
129,562,486730,6212,486730
129,562,486730,6212,486730
129,562,487200,6212,487200
129,562,488200,6212,488200
129,562,489010,6212,489010
129,562,490010,6212,490010
129,562,490820,6212,490820
129,562,491290,6212,491290
129,562,491760,6212,491760
129,562,492080,6212,492080
129,562,493080,6212,493080
129,562,493080,6212,493080
129,562,494080,6212,494080
129,562,494540,6212,494540
130,570,495540,6212,495540
130,570,496350,6212,496350
130,570,497160,6212,497160
130,570,497630,6212,497630
130,570,497790,6212,497790
130,570,498260,6212,498260
130,570,498720,6212,498720
130,570,499370,6212,499370
130,570,500180,6212,500180
130,570,500180,6212,500180
130,570,500990,6212,500990
130,570,501310,6212,501310
130,570,501770,6212,501770
131,572,502770,6212,502770
131,572,503240,6212,503240
131,572,503240,6212,503240
131,572,503240,6212,503240
131,572,503710,6212,503710
132,580,504300,6212,504300
132,580,505300,6212,505300
132,580,506300,6212,506300
132,580,506760,6212,506760
132,580,507080,6212,507080
132,580,508080,6212,508080
132,580,508890,6212,508890
132,580,509890,6212,509890
132,580,510890,6212,510890
132,580,511700,6212,511700
133,588,512170,6212,512170
133,588,512640,6212,512640
133,588,513110,6212,513110
133,588,513340,6212,513340
133,588,514340,6212,514340
133,588,514660,6212,514660
133,588,514660,6212,514660
133,588,514660,6212,514660
133,588,514660,6212,514660
133,588,515660,6212,515660
133,588,516470,6212,516470
133,588,517280,6212,517280
133,588,518280,6212,518280
133,588,518750,6212,518750
134,596,519220,6212,519220
134,596,519690,6212,519690
134,596,519690,6212,519690
134,596,520500,6212,520500
134,596,521310,6212,521310
134,596,522310,6212,522310
134,596,522780,6212,522780
134,596,523780,6212,523780
134,596,524780,6212,524780
134,596,525780,6212,525780
134,596,526250,6212,526250
135,604,527250,6212,527250
135,604,527250,6212,527250
135,604,527250,6212,527250
135,604,528060,6212,528060
135,604,528530,6212,528530
135,604,528800,6212,528800
135,604,529610,6212,529610
135,604,530080,6212,530080
135,604,530080,6212,530080
135,604,530310,6212,530310
135,604,531310,6212,531310
135,604,532310,6212,532310
135,604,532780,6212,532780
135,604,533590,6212,533590
136,612,534590,6212,534590
136,612,535050,6212,535050
136,612,535860,6212,535860
136,612,536860,6212,536860
136,612,537510,6212,537510
136,612,537980,6212,537980
136,612,538980,6212,538980
136,612,539790,6212,539790
136,612,540790,6212,540790
137,620,541600,6212,541600
137,620,542070,6212,542070
137,620,542720,6212,542720
137,620,542950,6212,542950
137,620,543760,6212,543760
137,620,544570,6212,544570
137,620,544890,6212,544890
137,620,545700,6212,545700
137,620,545920,6212,545920
137,620,546730,6212,546730
137,620,547730,6212,547730
137,620,548200,6212,548200
137,620,548430,6212,548430
138,622,549430,6212,549430
138,622,549430,6212,549430
138,622,549750,6212,549750
138,622,550220,6212,550220
139,626,551220,6212,551220
139,626,551690,6212,551690
139,626,552690,6212,552690
139,626,553500,6212,553500
139,626,553500,6212,553500
139,626,553970,6212,553970
140,634,554780,6212,554780
140,634,555590,6212,555590
140,634,556400,6212,556400
140,634,557050,6212,557050
140,634,558050,6212,558050
140,634,558520,6212,558520
140,634,559330,6212,559330
140,634,559330,6212,559330
140,634,560330,6212,560330
