ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
874667.68,14.43,0.83,179488.95,2.96
874720.38,14.43,0.84,179600.03,2.96
874773.08,14.44,0.84,179600.09,2.96
874637.11,14.44,0.84,179599.78,2.96
874637.11,14.44,0.84,179520.47,2.96
874501.13,14.44,0.84,179520.63,2.96
874797.15,14.44,0.85,179630.81,2.97
874661.17,14.44,0.85,179630.5,2.97
875365.59,14.46,0.86,179816.83,2.97
875731.2,14.46,0.87,179816.52,2.97
875595.22,14.46,0.87,179816.21,2.97
875647.92,14.47,0.87,179927.29,2.97
875713.24,14.47,0.87,179504.03,2.97
876017.42,14.47,0.88,179503.65,2.97
876070.12,14.48,0.88,179503.72,2.97
876756.99,14.49,0.89,179608.17,2.97
877210.56,14.5,0.9,179607.86,2.97
877210.56,14.5,0.9,179607.86,2.97
877210.56,14.5,0.9,179528.55,2.97
877210.56,14.5,0.9,179533.78,2.97
877074.58,14.5,0.9,179533.78,2.97
877127.28,14.5,0.9,179533.84,2.97
876583.37,14.5,0.9,180433.57,2.99
876447.4,14.5,0.9,180470.01,2.99
876311.42,14.5,0.9,180398.46,2.99
876175.44,14.5,0.9,180398.15,2.99
876039.47,14.5,0.91,180397.84,2.99
875903.49,14.5,0.91,180318.53,2.99
876759.91,14.52,0.92,180664.86,2.99
876623.93,14.52,0.92,180664.55,2.99
876487.95,14.52,0.92,180664.24,2.99
877344.37,14.53,0.94,181010.57,3.0
877208.39,14.53,0.94,181010.26,3.0
877072.42,14.53,0.94,181009.95,3.0
877125.12,14.54,0.94,181010.02,3.0
876989.14,14.54,0.94,180923.67,3.0
877285.16,14.54,0.95,180923.36,3.0
877149.18,14.54,0.95,180923.05,3.0
877013.21,14.54,0.95,180923.05,3.0
876877.23,14.54,0.95,180923.21,3.0
876741.25,14.54,0.95,180923.36,3.0
876637.72,14.54,0.95,180443.32,2.99
876941.9,14.55,0.95,180443.01,2.99
876805.92,14.55,0.95,180386.39,2.99
876805.92,14.55,0.95,180307.08,2.99
876669.94,14.55,0.95,180313.31,2.99
876533.96,14.55,0.95,180319.54,2.99
876397.99,14.55,0.95,180234.0,2.99
876782.65,14.56,0.96,180233.69,2.99
876835.35,14.56,0.96,180233.75,2.99
876888.05,14.56,0.97,180233.81,2.99
877169.16,14.57,0.97,180233.5,2.99
877465.18,14.58,0.98,180233.19,2.99
877465.18,14.58,0.98,180232.88,2.99
877918.75,14.58,0.99,180232.57,2.99
878214.77,14.59,0.99,180227.03,2.99
878676.0,14.6,1.0,180583.71,3.0
878540.02,14.6,1.0,180583.71,3.0
878605.34,14.6,1.0,180160.45,2.99
878469.37,14.6,1.0,180160.6,2.99
878522.07,14.6,1.01,180160.67,3.0
878522.07,14.6,1.01,180165.89,3.0
878818.09,14.61,1.01,180165.58,3.0
878682.11,14.61,1.01,180096.17,2.99
878546.13,14.61,1.01,180016.86,2.99
878611.45,14.61,1.02,179593.6,2.99
878475.48,14.61,1.02,179514.28,2.99
878339.5,14.61,1.02,179514.56,2.99
878635.52,14.62,1.02,179514.56,2.99
878499.54,14.62,1.02,179514.25,2.99
878552.24,14.62,1.03,179699.24,2.99
878416.27,14.62,1.03,179619.93,2.99
878712.29,14.63,1.03,179619.61,2.99
878712.29,14.63,1.03,179619.3,2.99
878764.99,14.63,1.04,179619.37,2.99
878817.69,14.64,1.04,179619.37,2.99
880458.43,14.66,1.07,180683.8,3.01
880796.57,14.67,1.07,180503.66,3.01
880660.6,14.67,1.07,180503.36,3.01
881114.17,14.68,1.08,180503.36,3.01
880842.21,14.68,1.08,180424.05,3.01
880842.21,14.68,1.08,180423.74,3.01
880894.91,14.68,1.08,180534.82,3.01
880894.91,14.68,1.08,180455.5,3.01
880758.94,14.68,1.08,180422.14,3.01
880635.58,14.68,1.09,179806.28,3.0
880688.28,14.69,1.09,179806.34,3.0
880552.3,14.69,1.09,179806.03,3.0
880909.5,14.69,1.1,179586.92,3.0
881550.24,14.71,1.11,179651.36,3.0
881615.56,14.71,1.11,179228.09,2.99
882012.84,14.72,1.12,179061.02,2.99
882065.54,14.72,1.12,179172.1,2.99
881929.57,14.72,1.12,179173.15,2.99
881793.59,14.72,1.12,179112.33,2.99
882188.39,14.73,1.13,179392.05,2.99
882052.41,14.73,1.13,179391.74,3.0
882739.28,14.74,1.14,179496.19,3.0
882739.28,14.74,1.14,179416.88,3.0
883380.02,14.75,1.16,179481.32,3.0
883108.07,14.75,1.16,179481.32,3.0
883561.64,14.76,1.17,179538.07,3.0
883857.66,14.77,1.17,179648.25,3.0
883734.3,14.77,1.17,179032.39,2.99
883787.0,14.77,1.17,179032.37,2.99
883651.02,14.77,1.17,178953.06,2.99
883515.05,14.77,1.18,178952.75,2.99
883379.07,14.77,1.18,178873.44,2.99
883431.77,14.78,1.18,178979.14,2.99
883431.77,14.78,1.18,179094.17,3.0
883484.47,14.78,1.18,179205.25,3.0
883728.51,14.78,1.19,179204.94,3.0
884125.79,14.79,1.19,179037.87,3.0
883989.81,14.79,1.19,179037.55,3.0
883989.81,14.79,1.19,179042.78,3.0
883989.81,14.79,1.19,179042.47,3.0
884285.83,14.8,1.2,179042.16,3.0
884338.53,14.8,1.2,179177.45,3.0
884338.53,14.8,1.2,179292.48,3.0
884202.56,14.8,1.2,179292.17,3.0
884668.75,14.81,1.21,178990.02,3.0
884532.77,14.81,1.21,178980.12,3.0
884396.79,14.81,1.21,178986.35,3.0
884260.81,14.81,1.21,178992.58,3.0
884260.81,14.81,1.21,178992.27,3.0
884645.48,14.82,1.22,178998.43,3.0
885349.9,14.83,1.23,179184.76,3.0
885213.92,14.83,1.23,179184.89,3.0
885213.92,14.83,1.23,179184.57,3.0
885404.37,14.84,1.24,179184.26,3.0
885457.07,14.84,1.24,179295.34,3.0
884369.25,14.84,1.24,179295.03,3.01
884233.28,14.84,1.24,179294.72,3.01
884097.3,14.84,1.24,179294.41,3.01
883961.32,14.84,1.24,179215.1,3.01
884151.77,14.85,1.25,179214.79,3.01
884015.8,14.85,1.25,179214.48,3.01
884720.22,14.86,1.26,179400.81,3.01
884584.24,14.86,1.26,179390.91,3.01
884448.26,14.86,1.26,179390.6,3.01
884312.29,14.86,1.26,179311.29,3.01
884176.31,14.86,1.26,179310.99,3.01
884040.33,14.86,1.26,179310.68,3.01
884493.9,14.87,1.27,179367.43,3.02
884357.92,14.87,1.27,179367.11,3.02
884221.95,14.87,1.27,179366.8,3.02
884274.65,14.87,1.27,179366.87,3.02
884327.35,14.87,1.28,179366.55,3.02
884623.37,14.88,1.28,179366.24,3.02
885264.11,14.89,1.3,179430.68,3.02
885128.14,14.89,1.3,179430.37,3.02
885466.28,14.9,1.3,179250.23,3.02
885330.3,14.9,1.3,179249.92,3.02
885330.3,14.9,1.3,179366.44,3.02
885611.41,14.91,1.31,179366.13,3.02
885907.43,14.91,1.32,179365.55,3.02
886097.88,14.92,1.32,179365.24,3.02
886097.88,14.92,1.32,179285.93,3.02
885961.9,14.92,1.32,179276.03,3.02
885825.93,14.92,1.32,179282.26,3.02
885878.63,14.92,1.32,179387.96,3.02
886174.65,14.93,1.33,179498.15,3.02
886038.67,14.93,1.33,179498.15,3.02
885902.7,14.93,1.33,178835.75,3.01
885766.72,14.93,1.33,178835.9,3.01
885819.42,14.93,1.33,178835.97,3.01
885683.44,14.93,1.33,178835.59,3.02
884595.62,14.93,1.34,178835.28,3.02
884648.32,14.94,1.34,178835.34,3.02
884512.35,14.94,1.34,178835.04,3.02
884793.46,14.94,1.35,178834.73,3.02
884657.48,14.94,1.35,178755.42,3.02
884521.5,14.94,1.35,178755.42,3.02
884817.52,14.95,1.35,178755.11,3.02
884681.55,14.95,1.35,178677.14,3.02
884734.25,14.95,1.36,178677.14,3.02
884924.7,14.96,1.36,178744.77,3.02
884788.72,14.96,1.36,178744.93,3.02
