ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
456,2426,413240,6212,413240
457,2428,413240,6212,413240
458,2430,414240,6212,414240
459,2438,422240,6212,422240
460,2440,423240,6212,423240
460,2440,424050,6212,424050
460,2440,424050,6212,424050
461,2442,425050,6212,425050
462,2444,426050,6212,426050
462,2444,426270,6212,426270
462,2444,426920,6212,426920
463,2446,427920,6212,427920
464,2448,428920,6212,428920
464,2448,429920,6212,429920
464,2448,430570,6212,430570
464,2448,431380,6212,431380
464,2448,432380,6212,432380
465,2456,433030,6212,433030
465,2456,433500,6212,433500
466,2464,433500,6212,433500
466,2464,434310,6212,434310
467,2466,434780,6212,434780
467,2466,435250,6212,435250
467,2466,435720,6212,435720
468,2474,436190,6212,436190
469,2482,437000,6212,437000
470,2484,438000,6212,438000
471,2492,438320,6212,438320
471,2492,439320,6212,439320
472,2494,440130,6212,440130
472,2494,440600,6212,440600
472,2494,441600,6212,441600
473,2495,441920,6212,441920
473,2495,442730,6212,442730
474,2503,442890,6212,442890
475,2511,443890,6212,443890
476,2519,444540,6212,444540
477,2521,444540,6212,444540
478,2529,445540,6212,445540
478,2529,446010,6212,446010
479,2537,447010,6212,447010
480,2545,447330,6212,447330
481,2547,448330,6212,448330
482,2549,449330,6212,449330
483,2551,449700,6212,449700
484,2559,450700,6212,450700
484,2559,451700,6212,451700
485,2567,452700,6212,452700
486,2575,453700,6212,453700
487,2577,454700,6212,454700
487,2577,455700,6212,455700
487,2577,456700,6212,456700
488,2579,456700,6212,456700
489,2587,456700,6212,456700
490,2589,456930,6212,456930
491,2591,457930,6212,457930
491,2591,457930,6212,457930
492,2593,458250,6212,458250
493,2601,458720,6212,458720
494,2609,459720,6212,459720
495,2611,460720,6212,460720
495,2611,461720,6212,461720
496,2619,462530,6212,462530
496,2619,463340,6212,463340
496,2619,463820,6212,463820
496,2619,464820,6212,464820
497,2621,465820,6212,465820
498,2623,466820,6212,466820
499,2625,466820,6212,466820
500,2627,467820,6212,467820
501,2635,468820,6212,468820
502,2643,469630,6212,469630
503,2651,470630,6212,470630
503,2651,471100,6212,471100
503,2651,472100,6212,472100
503,2651,472910,6212,472910
504,2659,473720,6212,473720
505,2667,474720,6212,474720
505,2667,475720,6212,475720
506,2669,476720,6212,476720
506,2669,477530,6212,477530
506,2669,477760,6212,477760
506,2669,478760,6212,478760
506,2669,478760,6212,478760
507,2671,479760,6212,479760
508,2679,479980,6212,479980
508,2679,480450,6212,480450
508,2679,481260,6212,481260
509,2681,482260,6212,482260
509,2681,483260,6212,483260
509,2681,484260,6212,484260
509,2681,485070,6212,485070
509,2681,485660,6212,485660
510,2683,486660,6212,486660
