ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
334,756,580790,6212,580790
334,756,581790,6212,581790
334,756,581790,6212,581790
335,758,582790,6212,582790
335,758,583260,6212,583260
335,758,583580,6212,583580
336,760,584390,6212,584390
336,760,585200,6212,585200
336,760,585670,6212,585670
337,762,586670,6212,586670
337,762,586670,6212,586670
337,762,587670,6212,587670
338,764,588670,6212,588670
338,764,589670,6212,589670
339,766,590670,6212,590670
339,766,590890,6212,590890
340,768,591890,6212,591890
340,768,592890,6212,592890
341,770,593890,6212,593890
341,770,594700,6212,594700
341,770,594700,6212,594700
341,770,595160,6212,595160
341,770,595380,6212,595380
342,772,596380,6212,596380
342,772,597380,6212,597380
343,774,597850,6212,597850
343,774,598850,6212,598850
344,776,599850,6212,599850
344,776,600850,6212,600850
345,784,608850,6212,608850
345,784,609170,6212,609170
346,786,609720,6212,609720
346,786,610720,6212,610720
346,786,610720,6212,610720
347,788,611720,6212,611720
347,788,612530,6212,612530
348,790,613000,6212,613000
348,790,613810,6212,613810
349,792,614810,6212,614810
349,792,615030,6212,615030
349,792,616030,6212,616030
349,792,616500,6212,616500
350,794,617310,6212,617310
350,794,618310,6212,618310
351,796,619120,6212,619120
351,796,619440,6212,619440
351,796,619440,6212,619440
352,798,620250,6212,620250
352,798,621060,6212,621060
352,798,621060,6212,621060
352,798,621060,6212,621060
353,800,621870,6212,621870
353,800,622870,6212,622870
354,802,623680,6212,623680
354,802,624000,6212,624000
354,802,624810,6212,624810
355,804,625810,6212,625810
355,804,626620,6212,626620
356,806,627620,6212,627620
356,806,628620,6212,628620
356,806,628940,6212,628940
357,808,629940,6212,629940
357,808,630400,6212,630400
358,810,631400,6212,631400
358,810,632210,6212,632210
359,812,633210,6212,633210
359,812,634210,6212,634210
360,814,635210,6212,635210
360,814,635210,6212,635210
360,814,636020,6212,636020
361,816,637020,6212,637020
361,816,637020,6212,637020
361,816,638020,6212,638020
361,816,638830,6212,638830
362,818,639830,6212,639830
362,818,640830,6212,640830
363,820,641830,6212,641830
363,820,642640,6212,642640
364,822,643450,6212,643450
364,822,643670,6212,643670
364,822,644670,6212,644670
364,822,645130,6212,645130
365,824,645940,6212,645940
365,824,646940,6212,646940
366,826,647940,6212,647940
366,826,648940,6212,648940
367,828,649940,6212,649940
367,828,650940,6212,650940
368,830,651940,6212,651940
368,830,651940,6212,651940
368,830,651940,6212,651940
368,830,652940,6212,652940
369,832,653940,6212,653940
369,832,654940,6212,654940
370,834,655940,6212,655940
370,834,656940,6212,656940
370,834,656940,6212,656940
370,834,656940,6212,656940
371,836,657940,6212,657940
371,836,658750,6212,658750
372,838,659750,6212,659750
372,838,660560,6212,660560
372,838,660560,6212,660560
373,840,661560,6212,661560
373,840,662560,6212,662560
374,842,663560,6212,663560
374,842,664560,6212,664560
374,842,664560,6212,664560
375,844,665560,6212,665560
375,844,666370,6212,666370
376,846,667370,6212,667370
376,846,668370,6212,668370
377,848,669370,6212,669370
377,848,670370,6212,670370
378,850,671370,6212,671370
378,850,672020,6212,672020
379,852,673020,6212,673020
379,852,674020,6212,674020
380,854,675020,6212,675020
380,854,675830,6212,675830
381,856,676830,6212,676830
381,856,677150,6212,677150
381,856,678150,6212,678150
382,858,679150,6212,679150
382,858,680150,6212,680150
382,858,680150,6212,680150
383,860,681150,6212,681150
383,860,682150,6212,682150
384,862,683150,6212,683150
384,862,684150,6212,684150
385,864,685150,6212,685150
385,864,685960,6212,685960
385,864,685960,6212,685960
385,864,685960,6212,685960
386,866,686960,6212,686960
386,866,687610,6212,687610
387,868,688610,6212,688610
387,868,689610,6212,689610
388,870,690200,6212,690200
388,870,690200,6212,690200
389,874,690430,6212,690430
389,874,691430,6212,691430
390,876,691890,6212,691890
390,876,692890,6212,692890
390,876,692890,6212,692890
391,878,693890,6212,693890
391,878,694260,6212,694260
391,878,695260,6212,695260
392,880,696070,6212,696070
392,880,697070,6212,697070
393,882,698070,6212,698070
393,882,699070,6212,699070
393,882,699540,6212,699540
394,884,700540,6212,700540
394,884,701540,6212,701540
395,886,702540,6212,702540
395,886,703540,6212,703540
396,888,704540,6212,704540
396,888,705540,6212,705540
396,888,705540,6212,705540
397,890,706000,6212,706000
397,890,707000,6212,707000
397,890,707000,6212,707000
398,892,708000,6212,708000
398,892,709000,6212,709000
398,892,709000,6212,709000
398,892,709000,6212,709000
399,894,710000,6212,710000
399,894,710000,6212,710000
399,894,711000,6212,711000
399,894,711000,6212,711000
399,894,711160,6212,711160
400,896,712160,6212,712160
400,896,712970,6212,712970
401,898,713970,6212,713970
401,898,713970,6212,713970
401,898,714970,6212,714970
