ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
941836.28,15.69,2.09,190346.4,3.17
941700.3,15.69,2.09,190259.06,3.17
941784.63,15.69,2.09,190277.17,3.17
941512.67,15.69,2.09,190190.82,3.17
941512.67,15.69,2.09,190190.82,3.17
941112.66,15.69,2.09,189790.82,3.16
941112.66,15.69,2.09,189790.82,3.16
940522.66,15.68,2.08,188979.85,3.15
939932.65,15.67,2.07,188168.89,3.14
939532.64,15.67,2.07,187547.93,3.13
939696.43,15.67,2.07,188463.38,3.14
940988.73,15.7,2.1,188572.44,3.15
940852.75,15.7,2.1,188486.1,3.14
940452.75,15.69,2.09,187865.13,3.13
940837.41,15.7,2.1,188401.48,3.14
940437.4,15.7,2.1,187780.52,3.13
940301.42,15.7,2.1,187694.18,3.13
940165.44,15.7,2.1,187694.18,3.13
940165.44,15.7,2.1,187694.18,3.13
940029.47,15.7,2.1,187679.38,3.13
939538.83,15.69,2.09,187173.03,3.13
939538.83,15.69,2.09,187173.03,3.13
939402.85,15.69,2.09,187101.48,3.13
939130.9,15.69,2.09,187015.13,3.12
939437.63,15.7,2.1,187273.55,3.13
939766.1,15.7,2.11,187556.43,3.13
939176.09,15.7,2.1,186745.47,3.12
938776.08,15.69,2.09,186124.5,3.11
938640.1,15.69,2.09,186038.16,3.11
938504.13,15.69,2.09,186038.16,3.11
938368.15,15.69,2.09,185951.81,3.11
937968.14,15.69,2.09,185330.85,3.1
937968.14,15.69,2.09,185330.85,3.1
937568.13,15.68,2.09,184709.89,3.09
937388.13,15.68,2.08,184308.92,3.08
937772.79,15.69,2.09,184843.63,3.09
937182.78,15.68,2.08,184253.63,3.08
937182.78,15.68,2.08,184253.63,3.08
938844.2,15.71,2.11,185402.53,3.1
938532.1,15.71,2.11,185047.8,3.1
938139.53,15.7,2.1,184413.23,3.09
938139.53,15.7,2.1,184413.23,3.09
937453.85,15.69,2.09,183661.33,3.07
937538.18,15.69,2.1,183679.44,3.07
937402.2,15.69,2.1,183664.64,3.08
937266.22,15.7,2.1,183593.09,3.07
937130.24,15.7,2.1,183594.08,3.07
937130.24,15.7,2.1,183594.08,3.07
937514.91,15.7,2.11,184043.22,3.08
937202.81,15.7,2.1,183686.73,3.08
937066.83,15.7,2.1,183671.93,3.08
937066.83,15.7,2.1,183671.93,3.08
937257.28,15.7,2.11,183922.6,3.08
936864.71,15.7,2.1,183288.02,3.07
935776.89,15.7,2.1,183287.71,3.08
935940.68,15.71,2.11,184203.16,3.09
937232.98,15.73,2.13,184312.22,3.09
937396.77,15.74,2.14,185227.67,3.11
939039.07,15.77,2.17,185686.73,3.12
938903.1,15.77,2.17,185571.77,3.12
938591.0,15.76,2.17,185342.82,3.11
938000.99,15.76,2.16,184531.85,3.1
937865.01,15.76,2.16,184517.05,3.1
937729.03,15.76,2.16,184445.51,3.1
937593.06,15.76,2.16,184430.71,3.1
937457.08,15.76,2.16,184359.16,3.1
937250.65,15.75,2.16,184156.95,3.1
937414.44,15.76,2.16,185072.4,3.11
937278.46,15.76,2.16,185062.5,3.11
937331.17,15.76,2.17,185155.93,3.11
937383.87,15.77,2.17,185076.62,3.11
939206.17,15.8,2.2,185715.68,3.12
939070.19,15.8,2.2,185900.67,3.13
938934.21,15.8,2.2,185839.84,3.13
938798.23,15.8,2.2,185769.56,3.13
939126.2,15.81,2.21,186408.68,3.14
939126.2,15.81,2.21,186408.68,3.14
938947.54,15.81,2.21,186116.13,3.13
939243.56,15.81,2.21,186098.09,3.13
939455.65,15.82,2.22,186049.04,3.13
939958.82,15.83,2.23,188136.94,3.17
940283.63,15.83,2.24,187790.34,3.16
940147.65,15.83,2.24,187761.82,3.16
940200.35,15.84,2.24,187817.38,3.16
940496.38,15.84,2.25,187743.24,3.16
940371.21,15.84,2.25,188286.04,3.17
940224.42,15.84,2.25,188051.29,3.17
940088.44,15.85,2.25,188022.77,3.17
940141.14,15.85,2.25,188133.85,3.17
940005.17,15.85,2.25,188128.45,3.17
938917.35,15.85,2.25,188121.09,3.18
938970.05,15.85,2.26,188232.17,3.18
938834.07,15.85,2.26,188137.31,3.18
939115.18,15.86,2.26,188546.96,3.18
939022.86,15.86,2.26,188751.97,3.19
938843.23,15.86,2.26,188464.55,3.18
938471.23,15.86,2.26,188113.37,3.18
938335.25,15.86,2.26,188035.41,3.18
938387.95,15.86,2.26,188219.23,3.18
938578.41,15.87,2.27,188174.19,3.18
938442.43,15.87,2.27,188101.19,3.18
938406.37,15.87,2.27,188704.91,3.19
938194.04,15.87,2.27,188363.43,3.19
938058.07,15.87,2.27,188353.54,3.19
937922.09,15.87,2.27,188284.12,3.19
937786.11,15.87,2.27,188223.3,3.18
937650.14,15.87,2.27,188213.41,3.19
937514.16,15.87,2.27,188143.12,3.18
937910.1,15.88,2.28,188912.27,3.2
937774.12,15.88,2.28,188842.86,3.2
937774.12,15.88,2.28,188842.86,3.2
937636.23,15.88,2.28,188529.02,3.19
937636.23,15.88,2.28,188529.02,3.19
937500.25,15.88,2.28,188449.71,3.19
937364.27,15.88,2.28,188449.71,3.19
937364.27,15.88,2.28,188449.71,3.19
937228.29,15.88,2.28,188439.81,3.19
937027.03,15.88,2.28,188238.55,3.19
936891.06,15.88,2.28,188169.14,3.19
936755.08,15.88,2.28,188089.83,3.19
936755.08,15.88,2.28,188089.83,3.19
936755.08,15.88,2.28,188089.83,3.19
937059.25,15.88,2.29,188530.13,3.2
936923.27,15.88,2.29,188450.81,3.19
936975.98,15.89,2.29,188635.8,3.2
936975.98,15.89,2.29,188635.8,3.2
936840.0,15.89,2.29,188557.84,3.2
936622.75,15.88,2.29,188340.59,3.19
936486.77,15.88,2.29,188339.24,3.19
936539.47,15.89,2.29,188450.32,3.2
936403.49,15.89,2.29,188422.77,3.2
936043.34,15.88,2.29,188062.48,3.19
936096.05,15.89,2.29,188173.56,3.19
936148.75,15.89,2.29,188308.85,3.2
936339.2,15.89,2.3,188376.48,3.2
936203.22,15.89,2.3,188549.31,3.2
935996.79,15.89,2.29,188349.54,3.2
935860.82,15.89,2.29,188270.23,3.2
935724.84,15.89,2.29,188270.23,3.2
935588.86,15.89,2.29,188276.46,3.2
935452.88,15.89,2.3,188190.92,3.2
935748.9,15.9,2.3,188190.92,3.2
935376.91,15.89,2.3,188190.92,3.2
935240.93,15.89,2.3,188291.95,3.2
935104.95,15.89,2.3,188260.31,3.2
934968.97,15.9,2.3,188250.92,3.2
934833.0,15.9,2.3,188171.61,3.2
934545.91,15.89,2.29,187845.83,3.19
934409.93,15.89,2.29,187845.83,3.19
934462.63,15.9,2.3,187956.91,3.2
934515.33,15.9,2.3,188092.2,3.2
934379.36,15.9,2.3,188129.0,3.2
934243.38,15.9,2.3,188012.89,3.2
934107.4,15.9,2.3,188019.12,3.2
934160.1,15.9,2.3,188096.43,3.2
934212.81,15.91,2.31,188207.51,3.2
934076.83,15.91,2.31,188179.96,3.2
934372.85,15.91,2.31,188290.14,3.21
934236.87,15.91,2.32,188531.64,3.21
934236.87,15.91,2.32,188531.64,3.21
934236.87,15.91,2.32,188531.64,3.21
934100.89,15.91,2.32,188521.75,3.21
934100.89,15.91,2.32,188550.3,3.21
933964.92,15.91,2.32,188480.89,3.21
933964.92,15.91,2.32,188509.44,3.21
934017.62,15.92,2.32,188620.52,3.21
933881.64,15.92,2.32,188592.98,3.21
933741.18,15.92,2.32,188447.92,3.21
933605.21,15.92,2.32,188368.61,3.21
933657.91,15.92,2.32,188553.6,3.21
933710.61,15.92,2.32,188664.68,3.22
933710.61,15.92,2.32,188664.68,3.22
933574.63,15.92,2.32,188637.13,3.22
933936.32,15.93,2.33,188904.99,3.22
933800.35,15.93,2.33,188986.39,3.22
933664.37,15.93,2.33,188907.08,3.22
933664.37,15.93,2.33,188907.08,3.22
933344.37,15.93,2.33,188587.08,3.22
933208.39,15.93,2.33,188587.08,3.22
933072.41,15.93,2.33,188507.77,3.22
933072.41,15.93,2.33,188507.77,3.22
932936.44,15.93,2.33,188507.77,3.22
932800.46,15.93,2.33,188497.88,3.22
932853.16,15.93,2.33,188591.31,3.22
932717.18,15.93,2.33,188512.0,3.22
932717.18,15.93,2.33,188512.0,3.22
932581.21,15.93,2.33,188512.0,3.22
932445.23,15.93,2.33,188518.22,3.22
932309.25,15.93,2.33,188432.68,3.22
931990.33,15.93,2.33,188179.36,3.22
931854.35,15.93,2.33,188156.67,3.22
931718.38,15.93,2.33,188100.05,3.22
931771.08,15.93,2.33,188211.13,3.22
931823.78,15.93,2.34,188346.43,3.22
931687.8,15.94,2.34,188323.74,3.22
931687.8,15.94,2.34,188323.74,3.22
931687.8,15.94,2.34,188323.74,3.22
931551.82,15.94,2.34,188267.12,3.22
931703.04,15.94,2.34,188984.42,3.23
931567.06,15.94,2.34,188905.11,3.23
931431.08,15.94,2.34,188905.11,3.23
931483.78,15.94,2.34,189016.19,3.24
931674.23,15.95,2.35,189256.01,3.24
931674.23,15.95,2.35,189256.01,3.24
931538.26,15.95,2.35,189246.11,3.24
931402.28,15.95,2.35,189176.7,3.24
931706.45,15.95,2.36,189164.22,3.24
931759.15,15.96,2.36,189593.14,3.25
931623.18,15.96,2.36,189599.37,3.25
931487.2,15.96,2.36,189513.83,3.25
931351.22,15.96,2.36,189434.52,3.25
931215.24,15.96,2.36,189434.52,3.25
931267.94,15.96,2.37,189545.6,3.25
931267.94,15.96,2.37,189545.6,3.25
931131.97,15.96,2.37,189540.29,3.25
930995.99,15.96,2.37,189530.39,3.25
930860.01,15.96,2.37,189460.98,3.25
930489.86,15.96,2.36,189218.36,3.25
930353.89,15.96,2.36,189139.05,3.24
930217.91,15.96,2.36,189139.05,3.25
930217.91,15.96,2.36,189139.05,3.25
930081.93,15.96,2.36,189145.28,3.25
930134.63,15.96,2.37,189222.58,3.25
929913.09,15.96,2.36,189006.64,3.24
929777.12,15.96,2.36,189012.87,3.24
929641.14,15.96,2.36,188927.33,3.24
929505.16,15.96,2.36,188917.43,3.24
929369.18,15.96,2.36,188848.02,3.24
929665.2,15.97,2.37,188848.02,3.24
929529.23,15.97,2.37,188848.02,3.24
929393.25,15.97,2.37,189184.25,3.25
929257.27,15.97,2.37,189239.09,3.25
929121.3,15.97,2.37,189159.78,3.25
929174.0,15.97,2.38,189344.77,3.25
929038.02,15.97,2.38,189351.0,3.26
928902.04,15.97,2.38,189265.46,3.25
927902.04,15.96,2.36,188265.46,3.24
927761.58,15.96,2.36,188161.37,3.24
927761.58,15.96,2.36,188161.37,3.24
927625.61,15.96,2.36,188082.06,3.24
927678.31,15.96,2.36,188267.04,3.24
