ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
145,372,296080,6212,296080
146,374,297080,6212,297080
146,374,298080,6212,298080
147,376,299080,6212,299080
147,376,300080,6212,300080
148,378,301080,6212,301080
149,380,302080,6212,302080
149,380,303080,6212,303080
150,382,304080,6212,304080
150,382,304550,6212,304550
150,382,305550,6212,305550
150,382,305550,6212,305550
151,384,306550,6212,306550
151,384,306550,6212,306550
151,384,307550,6212,307550
152,386,308550,6212,308550
152,386,308550,6212,308550
152,386,309550,6212,309550
152,386,309780,6212,309780
153,388,310780,6212,310780
153,388,311780,6212,311780
153,388,311780,6212,311780
153,388,311780,6212,311780
154,390,312240,6212,312240
154,390,313240,6212,313240
154,390,314050,6212,314050
154,390,314050,6212,314050
155,392,315050,6212,315050
155,392,315270,6212,315270
155,392,316270,6212,316270
156,394,317080,6212,317080
157,398,318080,6212,318080
158,400,318540,6212,318540
158,400,319350,6212,319350
158,400,320160,6212,320160
158,400,320810,6212,320810
158,400,321810,6212,321810
158,400,322040,6212,322040
159,402,323040,6212,323040
160,404,324040,6212,324040
160,404,325040,6212,325040
160,404,326040,6212,326040
160,404,326510,6212,326510
161,406,326980,6212,326980
162,408,327980,6212,327980
162,408,328980,6212,328980
163,410,329980,6212,329980
163,410,330980,6212,330980
163,410,331300,6212,331300
164,412,332300,6212,332300
164,412,333110,6212,333110
164,412,333920,6212,333920
165,414,334920,6212,334920
165,414,335920,6212,335920
166,416,336920,6212,336920
166,416,337730,6212,337730
167,418,338540,6212,338540
167,418,339540,6212,339540
168,420,340010,6212,340010
168,420,341010,6212,341010
168,420,341010,6212,341010
168,420,341010,6212,341010
169,422,342010,6212,342010
169,422,342010,6212,342010
169,422,343010,6212,343010
169,422,343010,6212,343010
170,424,343820,6212,343820
170,424,344820,6212,344820
170,424,345050,6212,345050
171,426,346050,6212,346050
171,426,346860,6212,346860
172,428,347670,6212,347670
172,428,347670,6212,347670
172,428,348670,6212,348670
172,428,349020,6212,349020
173,430,350020,6212,350020
173,430,351020,6212,351020
173,430,351020,6212,351020
173,430,351340,6212,351340
174,432,352340,6212,352340
175,440,353340,6212,353340
175,440,353340,6212,353340
175,440,354340,6212,354340
175,440,355340,6212,355340
176,442,356150,6212,356150
176,442,357150,6212,357150
176,442,357150,6212,357150
176,442,358150,6212,358150
176,442,359150,6212,359150
176,442,360150,6212,360150
176,442,360620,6212,360620
176,442,361620,6212,361620
176,442,362620,6212,362620
176,442,363430,6212,363430
177,444,364240,6212,364240
177,444,365240,6212,365240
177,444,365240,6212,365240
177,444,365240,6212,365240
178,448,366240,6212,366240
178,448,366470,6212,366470
179,450,367470,6212,367470
179,450,368470,6212,368470
179,450,369280,6212,369280
180,452,369930,6212,369930
180,452,369930,6212,369930
180,452,370930,6212,370930
180,452,371930,6212,371930
181,454,372390,6212,372390
181,454,373200,6212,373200
182,456,374200,6212,374200
182,456,375200,6212,375200
183,458,376200,6212,376200
183,458,377200,6212,377200
183,458,378010,6212,378010
183,458,378010,6212,378010
184,460,379010,6212,379010
184,460,380010,6212,380010
185,462,381010,6212,381010
185,462,381480,6212,381480
185,462,382480,6212,382480
186,464,383480,6212,383480
186,464,383480,6212,383480
186,464,384480,6212,384480
187,466,385290,6212,385290
187,466,385520,6212,385520
188,474,386520,6212,386520
188,474,387520,6212,387520
188,474,388520,6212,388520
188,474,389520,6212,389520
188,474,389990,6212,389990
188,474,390990,6212,390990
188,474,391990,6212,391990
188,474,392990,6212,392990
188,474,393990,6212,393990
189,476,394800,6212,394800
190,484,395800,6212,395800
190,484,396800,6212,396800
190,484,397800,6212,397800
191,486,398030,6212,398030
191,486,398030,6212,398030
192,488,399030,6212,399030
192,488,399840,6212,399840
192,488,400840,6212,400840
192,488,401840,6212,401840
192,488,402160,6212,402160
192,488,403160,6212,403160
192,488,403160,6212,403160
192,488,404160,6212,404160
192,488,404970,6212,404970
192,488,405520,6212,405520
192,488,405520,6212,405520
192,488,405680,6212,405680
192,488,406000,6212,406000
192,488,406810,6212,406810
192,488,407280,6212,407280
192,488,408280,6212,408280
193,490,409090,6212,409090
193,490,409560,6212,409560
193,490,410020,6212,410020
194,492,411020,6212,411020
194,492,412020,6212,412020
195,494,413020,6212,413020
195,494,413240,6212,413240
195,494,413240,6212,413240
196,496,414240,6212,414240
197,504,422240,6212,422240
197,504,423240,6212,423240
198,506,424050,6212,424050
198,506,424050,6212,424050
198,506,425050,6212,425050
199,514,426050,6212,426050
199,514,426270,6212,426270
199,514,426920,6212,426920
199,514,427920,6212,427920
199,514,428920,6212,428920
200,516,429920,6212,429920
200,516,430570,6212,430570
200,516,431380,6212,431380
200,516,432380,6212,432380
200,516,433030,6212,433030
200,516,433500,6212,433500
200,516,433500,6212,433500
201,518,434310,6212,434310
201,518,434780,6212,434780
201,518,435250,6212,435250
201,518,435720,6212,435720
202,520,436190,6212,436190
202,520,437000,6212,437000
203,522,438000,6212,438000
