ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
143,358,346080,6212,346080
143,358,347080,6212,347080
143,358,347080,6212,347080
144,360,348080,6212,348080
144,360,349080,6212,349080
145,362,349560,6212,349560
145,362,349880,6212,349880
146,370,357880,6212,357880
147,378,365880,6212,365880
147,378,366880,6212,366880
148,380,367880,6212,367880
148,380,367880,6212,367880
148,380,368880,6212,368880
149,388,376880,6212,376880
150,396,384880,6212,384880
151,398,385880,6212,385880
151,398,386350,6212,386350
151,398,387350,6212,387350
151,398,387350,6212,387350
152,400,387820,6212,387820
152,400,387820,6212,387820
152,400,387820,6212,387820
152,400,387820,6212,387820
152,400,388820,6212,388820
153,402,389820,6212,389820
153,402,390820,6212,390820
154,404,391820,6212,391820
154,404,392820,6212,392820
155,408,393470,6212,393470
155,408,393940,6212,393940
155,408,393940,6212,393940
156,410,394940,6212,394940
156,410,395410,6212,395410
156,410,395880,6212,395880
157,412,396350,6212,396350
157,412,397350,6212,397350
157,412,397820,6212,397820
158,414,398820,6212,398820
159,422,406820,6212,406820
160,424,407630,6212,407630
160,424,408630,6212,408630
160,424,408950,6212,408950
160,424,409950,6212,409950
161,426,410950,6212,410950
161,426,411270,6212,411270
162,428,412270,6212,412270
162,428,413270,6212,413270
163,430,414270,6212,414270
164,438,422270,6212,422270
164,438,422270,6212,422270
164,438,422730,6212,422730
165,442,423730,6212,423730
165,442,424380,6212,424380
166,444,425190,6212,425190
167,446,426190,6212,426190
167,446,427190,6212,427190
168,450,428190,6212,428190
168,450,429000,6212,429000
168,450,430000,6212,430000
168,450,430810,6212,430810
168,450,431810,6212,431810
168,450,432810,6212,432810
169,452,433810,6212,433810
169,452,434810,6212,434810
170,454,435620,6212,435620
170,454,436090,6212,436090
171,456,436900,6212,436900
172,464,444900,6212,444900
172,464,445370,6212,445370
172,464,446370,6212,446370
173,466,447370,6212,447370
173,466,448370,6212,448370
173,466,448690,6212,448690
173,466,448690,6212,448690
173,466,448690,6212,448690
173,466,449500,6212,449500
173,466,450310,6212,450310
173,466,450770,6212,450770
174,470,451770,6212,451770
175,472,452240,6212,452240
175,472,453240,6212,453240
175,472,453470,6212,453470
175,472,453470,6212,453470
175,472,454470,6212,454470
175,472,455470,6212,455470
175,472,456280,6212,456280
176,474,456750,6212,456750
176,474,457400,6212,457400
177,476,458400,6212,458400
178,480,459210,6212,459210
178,480,459210,6212,459210
178,480,460210,6212,460210
178,480,460670,6212,460670
178,480,461480,6212,461480
178,480,462290,6212,462290
178,480,463100,6212,463100
179,482,464100,6212,464100
179,482,464330,6212,464330
180,490,472330,6212,472330
180,490,472880,6212,472880
180,490,472880,6212,472880
181,492,473880,6212,473880
181,492,473880,6212,473880
181,492,474880,6212,474880
181,492,474880,6212,474880
182,494,475880,6212,475880
182,494,475880,6212,475880
182,494,476690,6212,476690
183,496,477500,6212,477500
183,496,478500,6212,478500
184,498,479500,6212,479500
184,498,480500,6212,480500
184,498,480500,6212,480500
185,500,481150,6212,481150
185,500,481150,6212,481150
186,502,482150,6212,482150
186,502,482620,6212,482620
186,502,483620,6212,483620
187,504,484620,6212,484620
187,504,485430,6212,485430
188,506,486430,6212,486430
189,510,490430,6212,490430
189,510,491430,6212,491430
189,510,491430,6212,491430
190,518,499430,6212,499430
191,520,500430,6212,500430
192,524,504430,6212,504430
192,524,504900,6212,504900
193,526,505900,6212,505900
193,526,506900,6212,506900
194,528,507900,6212,507900
194,528,508120,6212,508120
194,528,509120,6212,509120
195,530,510120,6212,510120
195,530,510930,6212,510930
196,532,511930,6212,511930
196,532,512930,6212,512930
197,534,513930,6212,513930
197,534,514930,6212,514930
198,536,515930,6212,515930
198,536,516160,6212,516160
198,536,516970,6212,516970
199,538,517780,6212,517780
199,538,518590,6212,518590
200,542,522590,6212,522590
201,544,523590,6212,523590
201,544,523910,6212,523910
201,544,524380,6212,524380
201,544,524840,6212,524840
202,546,525840,6212,525840
203,554,533840,6212,533840
203,554,534840,6212,534840
204,556,535840,6212,535840
204,556,536840,6212,536840
205,558,537650,6212,537650
205,558,537650,6212,537650
205,558,538650,6212,538650
205,558,538880,6212,538880
206,560,539880,6212,539880
207,562,541880,6212,541880
207,562,542340,6212,542340
207,562,543340,6212,543340
208,564,544340,6212,544340
208,564,545340,6212,545340
209,566,545800,6212,545800
209,566,546800,6212,546800
210,568,547800,6212,547800
210,568,548270,6212,548270
210,568,549080,6212,549080
211,570,550080,6212,550080
212,572,551080,6212,551080
212,572,551730,6212,551730
212,572,552730,6212,552730
213,574,553730,6212,553730
213,574,554730,6212,554730
214,576,555540,6212,555540
214,576,556540,6212,556540
215,578,557010,6212,557010
215,578,557480,6212,557480
215,578,558030,6212,558030
216,580,559030,6212,559030
216,580,560030,6212,560030
216,580,560030,6212,560030
217,582,560620,6212,560620
217,582,561620,6212,561620
217,582,561620,6212,561620
217,582,561940,6212,561940
217,582,561940,6212,561940
218,584,562410,6212,562410
218,584,563410,6212,563410
218,584,563880,6212,563880
219,586,564690,6212,564690
219,586,564690,6212,564690
219,586,565690,6212,565690
220,588,566160,6212,566160
221,590,566970,6212,566970
221,590,567970,6212,567970
221,590,568970,6212,568970
221,590,569290,6212,569290
221,590,569760,6212,569760
222,598,577760,6212,577760
223,600,578760,6212,578760
223,600,579760,6212,579760
223,600,579920,6212,579920
224,602,580920,6212,580920
224,602,581390,6212,581390
224,602,581390,6212,581390
225,604,582390,6212,582390
226,606,583200,6212,583200
226,606,584200,6212,584200
226,606,585200,6212,585200
226,606,585520,6212,585520
227,608,586520,6212,586520
227,608,587520,6212,587520
228,610,588520,6212,588520
229,614,592520,6212,592520
229,614,592520,6212,592520
229,614,593520,6212,593520
230,622,601520,6212,601520
230,622,601520,6212,601520
231,626,605520,6212,605520
232,628,606520,6212,606520
232,628,607520,6212,607520
233,630,608520,6212,608520
234,632,609520,6212,609520
234,632,610330,6212,610330
235,636,614330,6212,614330
236,638,615140,6212,615140
236,638,616140,6212,616140
236,638,616460,6212,616460
237,640,617460,6212,617460
237,640,618460,6212,618460
238,642,619460,6212,619460
239,644,620460,6212,620460
239,644,621460,6212,621460
239,644,622460,6212,622460
240,646,623460,6212,623460
240,646,624460,6212,624460
240,646,624460,6212,624460
241,648,625460,6212,625460
241,648,626460,6212,626460
242,650,627270,6212,627270
243,652,628270,6212,628270
243,652,629270,6212,629270
243,652,629270,6212,629270
243,652,629270,6212,629270
243,652,630270,6212,630270
243,652,630590,6212,630590
243,652,630590,6212,630590
244,654,631400,6212,631400
244,654,631770,6212,631770
244,654,632770,6212,632770
245,656,633770,6212,633770
245,656,633770,6212,633770
245,656,634420,6212,634420
246,658,635420,6212,635420
246,658,636420,6212,636420
247,660,637420,6212,637420
247,660,638420,6212,638420
248,662,639420,6212,639420
248,662,640420,6212,640420
248,662,640420,6212,640420
249,664,641420,6212,641420
250,666,642420,6212,642420
250,666,643420,6212,643420
250,666,644420,6212,644420
250,666,644420,6212,644420
251,674,652420,6212,652420
252,676,653420,6212,653420
252,676,654420,6212,654420
253,678,655070,6212,655070
253,678,655390,6212,655390
254,680,656200,6212,656200
254,680,657200,6212,657200
254,680,657670,6212,657670
255,682,658670,6212,658670
255,682,659670,6212,659670
256,686,660670,6212,660670
257,688,661670,6212,661670
257,688,661670,6212,661670
257,688,662260,6212,662260
258,690,663260,6212,663260
258,690,664260,6212,664260
259,692,665260,6212,665260
259,692,666260,6212,666260
260,694,666910,6212,666910
260,694,667910,6212,667910
260,694,668910,6212,668910
260,694,669910,6212,669910
260,694,669910,6212,669910
260,694,670910,6212,670910
260,694,671370,6212,671370
261,696,672370,6212,672370
261,696,673370,6212,673370
262,698,673840,6212,673840
263,700,674650,6212,674650
263,700,675650,6212,675650
263,700,675650,6212,675650
263,700,676650,6212,676650
264,702,677650,6212,677650
264,702,677970,6212,677970
264,702,678290,6212,678290
264,702,679290,6212,679290
265,704,680100,6212,680100
265,704,681100,6212,681100
266,706,682100,6212,682100
266,706,683100,6212,683100
266,706,683570,6212,683570
267,708,684570,6212,684570
267,708,685570,6212,685570
267,708,685570,6212,685570
268,710,686570,6212,686570
268,710,687380,6212,687380
269,712,688380,6212,688380
269,712,689030,6212,689030
270,714,690030,6212,690030
270,714,691030,6212,691030
270,714,691350,6212,691350
271,722,699350,6212,699350
272,726,703350,6212,703350
273,728,704160,6212,704160
273,728,705160,6212,705160
274,730,706160,6212,706160
275,738,714160,6212,714160
276,746,722160,6212,722160
276,746,722970,6212,722970
277,748,723780,6212,723780
278,756,731780,6212,731780
278,756,732590,6212,732590
279,758,733590,6212,733590
279,758,734180,6212,734180
280,760,735180,6212,735180
280,760,735500,6212,735500
280,760,736150,6212,736150
281,762,736700,6212,736700
281,762,737020,6212,737020
281,762,737020,6212,737020
281,762,737020,6212,737020
281,762,737490,6212,737490
281,762,737490,6212,737490
282,764,738300,6212,738300
283,766,740300,6212,740300
283,766,741300,6212,741300
283,766,741770,6212,741770
284,768,742240,6212,742240
284,768,742710,6212,742710
285,770,743520,6212,743520
285,770,744520,6212,744520
285,770,745520,6212,745520
285,770,745520,6212,745520
286,772,746520,6212,746520
287,780,754520,6212,754520
287,780,755330,6212,755330
288,782,756140,6212,756140
288,782,757140,6212,757140
289,784,758140,6212,758140
289,784,758730,6212,758730
289,784,758730,6212,758730
290,788,759540,6212,759540
290,788,759540,6212,759540
291,796,767540,6212,767540
292,798,768190,6212,768190
292,798,769190,6212,769190
292,798,769510,6212,769510
293,800,770510,6212,770510
293,800,770970,6212,770970
294,802,771970,6212,771970
294,802,772440,6212,772440
294,802,772910,6212,772910
294,802,772910,6212,772910
294,802,774910,6212,774910
294,802,775140,6212,775140
294,802,776140,6212,776140
295,804,777140,6212,777140
295,804,777950,6212,777950
296,806,778760,6212,778760
296,806,779130,6212,779130
296,806,780130,6212,780130
296,806,780130,6212,780130
297,808,780940,6212,780940
297,808,781940,6212,781940
298,812,782940,6212,782940
299,814,783750,6212,783750
299,814,784220,6212,784220
300,816,785220,6212,785220
300,816,785690,6212,785690
301,824,793690,6212,793690
302,826,794500,6212,794500
302,826,795500,6212,795500
302,826,795500,6212,795500
303,828,796500,6212,796500
303,828,796500,6212,796500
303,828,796730,6212,796730
303,828,796730,6212,796730
303,828,797730,6212,797730
304,830,798540,6212,798540
304,830,799540,6212,799540
305,832,800190,6212,800190
305,832,801000,6212,801000
306,834,801810,6212,801810
306,834,802810,6212,802810
306,834,803810,6212,803810
306,834,803810,6212,803810
306,834,803810,6212,803810
307,842,811810,6212,811810
307,842,812130,6212,812130
307,842,812450,6212,812450
307,842,812770,6212,812770
307,842,813090,6212,813090
307,842,813900,6212,813900
307,842,814370,6212,814370
307,842,815370,6212,815370
308,846,819370,6212,819370
309,848,820370,6212,820370
309,848,821370,6212,821370
310,850,822370,6212,822370
310,850,822920,6212,822920
311,852,823570,6212,823570
311,852,823890,6212,823890
311,852,824890,6212,824890
312,854,825890,6212,825890
312,854,826890,6212,826890
313,856,827890,6212,827890
313,856,827890,6212,827890
313,856,828700,6212,828700
314,858,829170,6212,829170
314,858,829170,6212,829170
314,858,829400,6212,829400
314,858,830400,6212,830400
315,860,831400,6212,831400
315,860,831630,6212,831630
315,860,832630,6212,832630
316,868,840630,6212,840630
316,868,840630,6212,840630
317,870,841000,6212,841000
317,870,842000,6212,842000
317,870,842000,6212,842000
318,872,843000,6212,843000
318,872,844000,6212,844000
318,872,844470,6212,844470
319,874,844940,6212,844940
320,876,845750,6212,845750
320,876,846560,6212,846560
320,876,847560,6212,847560
321,878,848560,6212,848560
321,878,849560,6212,849560
322,882,850560,6212,850560
323,886,851560,6212,851560
324,888,852370,6212,852370
324,888,853020,6212,853020
325,890,853670,6212,853670
325,890,854140,6212,854140
325,890,854730,6212,854730
326,892,855200,6212,855200
326,892,856200,6212,856200
326,892,856790,6212,856790
326,892,856790,6212,856790
327,894,857790,6212,857790
327,894,858790,6212,858790
327,894,858790,6212,858790
328,896,859790,6212,859790
328,896,859790,6212,859790
328,896,860790,6212,860790
329,898,861790,6212,861790
329,898,862600,6212,862600
329,898,863070,6212,863070
329,898,863720,6212,863720
329,898,863720,6212,863720
329,898,864720,6212,864720
329,898,865040,6212,865040
329,898,865040,6212,865040
329,898,865360,6212,865360
330,900,867360,6212,867360
330,900,867360,6212,867360
330,900,867360,6212,867360
330,900,867360,6212,867360
331,904,868360,6212,868360
332,906,868830,6212,868830
333,908,869640,6212,869640
333,908,870230,6212,870230
333,908,871230,6212,871230
333,908,871820,6212,871820
333,908,872630,6212,872630
334,910,873630,6212,873630
334,910,874630,6212,874630
334,910,874790,6212,874790
334,910,875250,6212,875250
334,910,876250,6212,876250
334,910,876570,6212,876570
335,912,877570,6212,877570
335,912,878570,6212,878570
335,912,879570,6212,879570
336,914,881570,6212,881570
337,916,882570,6212,882570
337,916,883570,6212,883570
337,916,883890,6212,883890
338,918,884890,6212,884890
339,926,892890,6212,892890
340,934,900890,6212,900890
340,934,901700,6212,901700
340,934,902700,6212,902700
340,934,902920,6212,902920
340,934,903080,6212,903080
340,934,903890,6212,903890
341,936,904890,6212,904890
341,936,905110,6212,905110
341,936,905270,6212,905270
341,936,906270,6212,906270
342,938,907270,6212,907270
342,938,908270,6212,908270
343,940,909270,6212,909270
343,940,910270,6212,910270
344,942,911270,6212,911270
344,942,912270,6212,912270
345,944,913270,6212,913270
345,944,913590,6212,913590
345,944,914590,6212,914590
346,946,915400,6212,915400
346,946,915400,6212,915400
346,946,915870,6212,915870
347,948,916680,6212,916680
347,948,917680,6212,917680
348,950,918680,6212,918680
348,950,918680,6212,918680
348,950,919680,6212,919680
349,952,920680,6212,920680
349,952,921680,6212,921680
350,954,922490,6212,922490
350,954,923490,6212,923490
351,956,923720,6212,923720
351,956,924720,6212,924720
352,958,925720,6212,925720
353,966,933720,6212,933720
353,966,933720,6212,933720
353,966,934190,6212,934190
353,966,935190,6212,935190
353,966,935420,6212,935420
354,968,936420,6212,936420
