ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
832543.39,13.96,0.62,315286.45,5.29
832394.92,13.96,0.62,315201.19,5.29
832394.92,13.96,0.62,315201.19,5.29
832021.09,13.96,0.61,314898.08,5.28
832021.09,13.96,0.61,314898.08,5.28
832290.32,13.96,0.62,314791.74,5.28
831222.84,13.97,0.62,314573.96,5.29
830935.14,13.96,0.62,314266.25,5.28
830786.67,13.96,0.62,314660.43,5.29
830628.1,13.96,0.62,314529.88,5.29
830479.63,13.96,0.61,314416.77,5.28
830764.99,13.96,0.62,314835.05,5.29
830813.94,13.97,0.62,314399.38,5.29
830565.05,13.97,0.62,314064.01,5.28
830268.18,13.96,0.62,313773.5,5.28
830500.28,13.97,0.62,313666.55,5.27
830540.52,13.97,0.63,314207.93,5.28
830718.91,13.97,0.63,314246.88,5.29
830579.16,13.97,0.63,313618.51,5.28
830215.33,13.97,0.62,313255.19,5.27
829965.14,13.97,0.62,312922.53,5.27
830258.69,13.97,0.63,313518.04,5.28
830437.09,13.98,0.63,313419.54,5.28
830309.84,13.98,0.63,313324.84,5.27
829937.83,13.97,0.63,312898.43,5.27
830178.65,13.98,0.63,312191.99,5.26
830307.88,13.98,0.64,312697.4,5.27
830020.18,13.98,0.63,312411.41,5.26
830020.18,13.98,0.63,312411.41,5.26
830330.81,13.98,0.64,313316.86,5.28
830201.98,13.98,0.64,313116.3,5.27
830053.51,13.98,0.64,313089.76,5.27
830102.46,13.99,0.64,312654.09,5.27
830203.57,13.99,0.65,312668.73,5.27
830055.09,13.99,0.65,312567.12,5.27
829906.62,13.99,0.65,312454.7,5.27
829766.87,13.99,0.65,311826.33,5.26
829608.17,13.99,0.64,311671.18,5.25
829357.98,13.98,0.64,311338.52,5.25
829209.51,13.98,0.64,311322.78,5.25
