ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
191,440,296160,6212,296160
191,440,296630,6212,296630
191,440,296950,6212,296950
192,442,297950,6212,297950
192,442,298270,6212,298270
192,442,298820,6212,298820
192,442,298820,6212,298820
193,444,299290,6212,299290
193,444,299520,6212,299520
193,444,299990,6212,299990
193,444,299990,6212,299990
193,444,300800,6212,300800
193,444,300800,6212,300800
193,444,301030,6212,301030
194,446,301500,6212,301500
194,446,301970,6212,301970
194,446,302780,6212,302780
195,448,303780,6212,303780
195,448,304590,6212,304590
196,450,305400,6212,305400
196,450,305400,6212,305400
196,450,305400,6212,305400
196,450,305630,6212,305630
197,452,306630,6212,306630
197,452,307630,6212,307630
197,452,308100,6212,308100
198,454,308570,6212,308570
198,454,309570,6212,309570
199,456,310570,6212,310570
199,456,311570,6212,311570
199,456,312040,6212,312040
200,458,312510,6212,312510
200,458,312510,6212,312510
200,458,313320,6212,313320
201,460,314320,6212,314320
201,460,315130,6212,315130
202,462,316130,6212,316130
202,462,316780,6212,316780
202,462,317250,6212,317250
202,462,317480,6212,317480
203,464,317800,6212,317800
203,464,318120,6212,318120
203,464,318930,6212,318930
204,466,319740,6212,319740
204,466,320210,6212,320210
205,468,320760,6212,320760
205,468,321760,6212,321760
206,470,322410,6212,322410
206,470,322410,6212,322410
206,470,323410,6212,323410
207,472,324410,6212,324410
207,472,325410,6212,325410
207,472,325730,6212,325730
208,474,326280,6212,326280
208,474,326280,6212,326280
208,474,327090,6212,327090
208,474,327410,6212,327410
208,474,327880,6212,327880
209,476,328350,6212,328350
209,476,329000,6212,329000
210,478,330000,6212,330000
210,478,331000,6212,331000
211,480,332000,6212,332000
211,480,332590,6212,332590
212,482,333240,6212,333240
212,482,333710,6212,333710
212,482,334710,6212,334710
212,482,335030,6212,335030
212,482,335030,6212,335030
213,484,336030,6212,336030
213,484,336030,6212,336030
213,484,336030,6212,336030
213,484,337030,6212,337030
214,486,338030,6212,338030
214,486,339030,6212,339030
214,486,339030,6212,339030
215,488,339840,6212,339840
215,488,340650,6212,340650
216,490,341650,6212,341650
216,490,342120,6212,342120
217,492,342930,6212,342930
217,492,343150,6212,343150
217,492,343800,6212,343800
217,492,343800,6212,343800
218,494,344800,6212,344800
218,494,345130,6212,345130
218,494,345940,6212,345940
219,496,346750,6212,346750
219,496,347400,6212,347400
219,496,347720,6212,347720
220,498,348370,6212,348370
220,498,349370,6212,349370
220,498,349840,6212,349840
221,500,350650,6212,350650
221,500,350880,6212,350880
221,500,351880,6212,351880
221,500,351880,6212,351880
221,500,352110,6212,352110
221,500,352340,6212,352340
222,502,352810,6212,352810
222,502,352810,6212,352810
222,502,353620,6212,353620
223,504,354620,6212,354620
223,504,355430,6212,355430
224,506,356430,6212,356430
224,506,357430,6212,357430
225,508,358240,6212,358240
225,508,358240,6212,358240
225,508,358240,6212,358240
225,508,358700,6212,358700
225,508,358700,6212,358700
225,508,358700,6212,358700
225,508,359290,6212,359290
226,516,367290,6212,367290
227,518,367940,6212,367940
227,518,368410,6212,368410
228,520,369220,6212,369220
228,520,370030,6212,370030
229,522,370840,6212,370840
229,522,371840,6212,371840
229,522,372160,6212,372160
230,524,373160,6212,373160
230,524,373390,6212,373390
230,524,374200,6212,374200
230,524,374200,6212,374200
231,526,375010,6212,375010
231,526,375820,6212,375820
232,528,376630,6212,376630
232,528,377100,6212,377100
232,528,377100,6212,377100
232,528,377570,6212,377570
232,528,378040,6212,378040
233,530,379040,6212,379040
233,530,379040,6212,379040
233,530,379150,6212,379150
233,530,379150,6212,379150
233,530,380150,6212,380150
233,530,380150,6212,380150
234,532,381150,6212,381150
234,532,381470,6212,381470
234,532,381470,6212,381470
234,532,381470,6212,381470
234,532,382470,6212,382470
235,534,383280,6212,383280
235,534,383750,6212,383750
235,534,383860,6212,383860
236,536,384670,6212,384670
236,536,385140,6212,385140
236,536,385950,6212,385950
237,538,386420,6212,386420
237,538,386890,6212,386890
237,538,387360,6212,387360
237,538,387360,6212,387360
237,538,387360,6212,387360
238,540,388170,6212,388170
238,540,388640,6212,388640
238,540,389110,6212,389110
239,542,389920,6212,389920
239,542,390730,6212,390730
239,542,390730,6212,390730
239,542,391200,6212,391200
240,544,391670,6212,391670
240,544,392480,6212,392480
241,546,393290,6212,393290
241,546,394290,6212,394290
242,548,395100,6212,395100
242,548,396100,6212,396100
243,550,397100,6212,397100
243,550,397910,6212,397910
244,552,398910,6212,398910
244,552,399720,6212,399720
245,554,400530,6212,400530
245,554,401530,6212,401530
246,556,402530,6212,402530
246,556,403010,6212,403010
246,556,404010,6212,404010
247,558,404820,6212,404820
247,558,405820,6212,405820
248,560,406630,6212,406630
248,560,406630,6212,406630
248,560,407100,6212,407100
248,560,407570,6212,407570
249,564,411570,6212,411570
249,564,411890,6212,411890
250,566,412890,6212,412890
250,566,413360,6212,413360
251,568,414170,6212,414170
251,568,414640,6212,414640
251,568,414640,6212,414640
251,568,415110,6212,415110
252,570,416110,6212,416110
252,570,416920,6212,416920
252,570,416920,6212,416920
252,570,417150,6212,417150
252,570,417150,6212,417150
253,572,418150,6212,418150
253,572,418150,6212,418150
253,572,418620,6212,418620
253,572,419090,6212,419090
253,572,419560,6212,419560
254,574,420560,6212,420560
254,574,421560,6212,421560
255,576,422560,6212,422560
255,576,422560,6212,422560
255,576,422890,6212,422890
255,576,423890,6212,423890
256,578,424540,6212,424540
256,578,425350,6212,425350
257,580,426350,6212,426350
257,580,427160,6212,427160
258,582,428160,6212,428160
258,582,428970,6212,428970
258,582,429200,6212,429200
258,582,429200,6212,429200
258,582,429200,6212,429200
259,584,429670,6212,429670
259,584,430480,6212,430480
259,584,430800,6212,430800
260,586,431270,6212,431270
260,586,432270,6212,432270
261,588,433270,6212,433270
261,588,434080,6212,434080
262,590,435080,6212,435080
262,590,435890,6212,435890
263,592,436480,6212,436480
263,592,437480,6212,437480
263,592,437950,6212,437950
263,592,438270,6212,438270
264,594,438740,6212,438740
264,594,439210,6212,439210
264,594,439800,6212,439800
265,596,440800,6212,440800
265,596,440800,6212,440800
265,596,441800,6212,441800
266,598,442270,6212,442270
266,598,442740,6212,442740
266,598,443210,6212,443210
267,600,443860,6212,443860
267,600,444670,6212,444670
268,602,445320,6212,445320
268,602,445690,6212,445690
268,602,446160,6212,446160
268,602,446630,6212,446630
269,604,447440,6212,447440
269,604,447900,6212,447900
270,606,448710,6212,448710
270,606,449360,6212,449360
271,608,450360,6212,450360
271,608,451170,6212,451170
271,608,451540,6212,451540
272,610,452540,6212,452540
272,610,453540,6212,453540
272,610,453540,6212,453540
273,612,454350,6212,454350
273,612,455350,6212,455350
273,612,455670,6212,455670
274,614,456320,6212,456320
274,614,456790,6212,456790
274,614,457380,6212,457380
274,614,457540,6212,457540
275,616,458350,6212,458350
275,616,459350,6212,459350
276,618,460160,6212,460160
276,618,461160,6212,461160
276,618,461160,6212,461160
277,620,461630,6212,461630
277,620,462100,6212,462100
277,620,463100,6212,463100
278,622,463570,6212,463570
278,622,463800,6212,463800
278,622,464120,6212,464120
278,622,464590,6212,464590
278,622,465400,6212,465400
279,624,466210,6212,466210
279,624,466210,6212,466210
279,624,466210,6212,466210
279,624,467020,6212,467020
280,626,467570,6212,467570
280,626,468030,6212,468030
281,628,469030,6212,469030
281,628,469500,6212,469500
281,628,469500,6212,469500
281,628,470310,6212,470310
281,628,470310,6212,470310
282,630,470780,6212,470780
282,630,470780,6212,470780
282,630,471430,6212,471430
283,632,472430,6212,472430
283,632,472890,6212,472890
283,632,473360,6212,473360
283,632,473830,6212,473830
284,634,474640,6212,474640
284,634,475450,6212,475450
285,636,476260,6212,476260
285,636,477070,6212,477070
285,636,477390,6212,477390
285,636,477710,6212,477710
286,638,478520,6212,478520
286,638,478990,6212,478990
287,640,479540,6212,479540
287,640,480540,6212,480540
288,642,481350,6212,481350
288,642,481670,6212,481670
288,642,481670,6212,481670
288,642,482670,6212,482670
289,644,483670,6212,483670
289,644,484130,6212,484130
289,644,484600,6212,484600
290,646,485410,6212,485410
290,646,485730,6212,485730
290,646,486730,6212,486730
290,646,486730,6212,486730
290,646,487200,6212,487200
291,648,488200,6212,488200
291,648,489010,6212,489010
292,650,490010,6212,490010
292,650,490820,6212,490820
292,650,491290,6212,491290
293,652,491760,6212,491760
293,652,492080,6212,492080
293,652,493080,6212,493080
293,652,493080,6212,493080
294,654,494080,6212,494080
294,654,494540,6212,494540
294,654,495540,6212,495540
295,656,496350,6212,496350
295,656,497160,6212,497160
296,658,497630,6212,497630
296,658,497790,6212,497790
296,658,498260,6212,498260
296,658,498720,6212,498720
297,660,499370,6212,499370
297,660,500180,6212,500180
297,660,500180,6212,500180
298,662,500990,6212,500990
298,662,501310,6212,501310
298,662,501770,6212,501770
298,662,502770,6212,502770
299,664,503240,6212,503240
299,664,503240,6212,503240
299,664,503240,6212,503240
299,664,503710,6212,503710
299,664,504300,6212,504300
300,666,505300,6212,505300
300,666,506300,6212,506300
301,668,506760,6212,506760
301,668,507080,6212,507080
301,668,508080,6212,508080
302,670,508890,6212,508890
302,670,509890,6212,509890
303,672,510890,6212,510890
303,672,511700,6212,511700
303,672,512170,6212,512170
304,674,512640,6212,512640
304,674,513110,6212,513110
304,674,513340,6212,513340
304,674,514340,6212,514340
304,674,514660,6212,514660
304,674,514660,6212,514660
304,674,514660,6212,514660
304,674,514660,6212,514660
305,676,515660,6212,515660
305,676,516470,6212,516470
306,678,517280,6212,517280
306,678,518280,6212,518280
307,680,518750,6212,518750
307,680,519220,6212,519220
307,680,519690,6212,519690
307,680,519690,6212,519690
308,682,520500,6212,520500
308,682,521310,6212,521310
309,684,522310,6212,522310
309,684,522780,6212,522780
309,684,523780,6212,523780
310,686,524780,6212,524780
310,686,525780,6212,525780
311,688,526250,6212,526250
311,688,527250,6212,527250
311,688,527250,6212,527250
311,688,527250,6212,527250
312,690,528060,6212,528060
312,690,528530,6212,528530
312,690,528800,6212,528800
312,690,529610,6212,529610
313,692,530080,6212,530080
313,692,530080,6212,530080
313,692,530310,6212,530310
313,692,531310,6212,531310
314,694,532310,6212,532310
314,694,532780,6212,532780
314,694,533590,6212,533590
315,696,534590,6212,534590
315,696,535050,6212,535050
316,698,535860,6212,535860
316,698,536860,6212,536860
317,700,537510,6212,537510
317,700,537980,6212,537980
317,700,538980,6212,538980
318,702,539790,6212,539790
318,702,540790,6212,540790
319,704,541600,6212,541600
319,704,542070,6212,542070
320,706,542720,6212,542720
320,706,542950,6212,542950
320,706,543760,6212,543760
321,708,544570,6212,544570
321,708,544890,6212,544890
321,708,545700,6212,545700
321,708,545920,6212,545920
322,710,546730,6212,546730
322,710,547730,6212,547730
322,710,548200,6212,548200
323,712,548430,6212,548430
323,712,549430,6212,549430
323,712,549430,6212,549430
323,712,549750,6212,549750
324,714,550220,6212,550220
324,714,551220,6212,551220
324,714,551690,6212,551690
325,716,552690,6212,552690
325,716,553500,6212,553500
325,716,553500,6212,553500
326,718,553970,6212,553970
326,718,554780,6212,554780
327,720,555590,6212,555590
327,720,556400,6212,556400
328,722,557050,6212,557050
328,722,558050,6212,558050
328,722,558520,6212,558520
