ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1272224.14,21.21,0.71,216812.16,3.61
1272019.17,21.21,0.71,216739.47,3.61
1272528.51,21.22,0.72,216707.23,3.61
1272323.53,21.22,0.72,216697.49,3.61
1272118.56,21.22,0.72,216633.38,3.61
1271913.58,21.22,0.72,216634.96,3.61
1271708.61,21.22,0.72,216575.98,3.61
1271704.08,21.22,0.72,216092.39,3.61
1271407.95,21.22,0.72,215733.73,3.6
1271202.98,21.22,0.72,215676.33,3.6
1271202.98,21.22,0.72,215676.33,3.6
1270998.0,21.22,0.72,215676.33,3.6
1270793.02,21.22,0.72,215691.62,3.6
1269153.22,21.22,0.72,215667.25,3.61
1268948.24,21.22,0.72,215594.56,3.61
1268743.27,21.22,0.72,215537.16,3.61
1268783.26,21.22,0.72,216258.3,3.62
1268578.29,21.22,0.72,216258.3,3.62
1268373.31,21.22,0.72,216200.91,3.62
1268357.12,21.22,0.73,216381.45,3.62
1268152.14,21.22,0.73,216311.17,3.62
1267947.16,21.22,0.73,216307.6,3.62
1267742.19,21.22,0.73,216309.18,3.62
1267362.78,21.22,0.72,216038.41,3.62
1269341.6,21.25,0.76,217259.48,3.64
1269576.03,21.26,0.76,217531.27,3.64
1269559.83,21.26,0.76,217625.51,3.64
1269354.85,21.26,0.76,217654.62,3.65
1269149.88,21.26,0.76,217597.22,3.65
1268944.9,21.26,0.76,217597.22,3.65
1268739.93,21.26,0.76,217539.82,3.65
1268360.52,21.26,0.76,217269.05,3.64
1268360.52,21.26,0.76,217269.05,3.64
1268594.95,21.26,0.77,217696.88,3.65
1268389.98,21.26,0.77,217639.48,3.65
1268185.0,21.26,0.77,217639.48,3.65
1268185.0,21.26,0.77,217639.48,3.65
1267980.02,21.26,0.77,217641.06,3.65
1267963.83,21.27,0.77,217731.91,3.65
1267584.42,21.26,0.76,217364.09,3.65
1267379.45,21.26,0.76,217306.69,3.65
1267174.47,21.26,0.76,217306.69,3.65
1267015.69,21.26,0.76,217186.85,3.64
1267015.69,21.26,0.76,217186.85,3.64
1266999.49,21.26,0.76,217281.09,3.65
1266983.3,21.26,0.77,217429.12,3.65
1266778.32,21.26,0.77,217365.78,3.65
1266573.35,21.26,0.77,217355.27,3.65
1267082.69,21.28,0.78,217323.02,3.65
1266877.71,21.28,0.78,217338.31,3.65
1267112.14,21.28,0.78,217596.39,3.65
1266907.17,21.28,0.78,217611.68,3.66
1267030.4,21.29,0.79,217795.46,3.66
1266825.43,21.29,0.79,217738.06,3.66
1266620.45,21.29,0.79,217738.06,3.66
1266415.48,21.29,0.79,217680.66,3.66
1266210.5,21.29,0.79,217680.66,3.66
1266443.81,21.29,0.8,217414.84,3.66
1265719.85,21.29,0.79,216648.42,3.64
1265340.44,21.28,0.78,216377.65,3.64
1265135.46,21.28,0.78,216379.24,3.64
1265135.46,21.28,0.78,216379.24,3.64
1265119.27,21.28,0.79,216470.09,3.64
1264914.29,21.28,0.79,216412.69,3.64
1264709.32,21.28,0.79,216412.69,3.64
1264709.32,21.28,0.79,216523.28,3.64
1264516.01,21.29,0.79,215861.96,3.63
1264556.0,21.29,0.79,215665.71,3.63
1264258.66,21.28,0.79,215294.78,3.62
1264053.68,21.28,0.79,215310.07,3.63
1266032.49,21.32,0.82,218781.13,3.68
1266032.49,21.32,0.82,218781.13,3.68
1264392.69,21.32,0.82,218756.76,3.69
1264187.71,21.32,0.82,218684.07,3.69
1263994.4,21.32,0.82,218022.76,3.68
1263994.4,21.32,0.82,218022.76,3.68
1263697.06,21.32,0.82,217651.83,3.67
1263820.29,21.32,0.82,217719.33,3.67
1262180.49,21.32,0.83,217716.1,3.68
1262164.29,21.33,0.83,217986.9,3.68
1262148.09,21.33,0.83,218081.14,3.69
1262382.52,21.33,0.84,218378.84,3.69
1262084.31,21.33,0.83,218152.37,3.69
1261879.34,21.33,0.83,218167.66,3.69
1261879.34,21.33,0.83,218167.66,3.69
1261863.14,21.33,0.84,218244.81,3.69
1261483.73,21.33,0.83,218033.95,3.69
1261730.97,21.34,0.84,217739.6,3.68
1261730.97,21.34,0.84,217850.2,3.68
1261770.96,21.34,0.84,217653.94,3.68
1262005.39,21.34,0.85,217744.53,3.68
1261800.42,21.34,0.85,217927.31,3.69
1261252.53,21.34,0.84,217379.42,3.68
1261047.55,21.34,0.84,217322.02,3.68
1260842.58,21.34,0.84,217322.02,3.68
1260463.17,21.33,0.83,217051.25,3.67
1260164.96,21.33,0.83,216865.43,3.67
1259875.39,21.32,0.83,216676.27,3.67
1259670.41,21.32,0.83,216618.87,3.67
1259670.41,21.32,0.83,216618.87,3.67
1259465.43,21.32,0.83,216618.87,3.67
1259260.46,21.32,0.83,216561.47,3.67
1259244.26,21.33,0.83,216742.02,3.67
1259477.57,21.34,0.84,216476.19,3.67
1259712.0,21.34,0.84,216566.79,3.67
1259507.02,21.34,0.84,216846.62,3.67
1260085.46,21.35,0.86,216877.83,3.68
1260036.37,21.35,0.86,216834.38,3.67
1259502.4,21.35,0.85,216257.96,3.67
1259486.21,21.35,0.85,216352.2,3.67
1259281.23,21.35,0.85,216381.11,3.67
1259076.26,21.35,0.85,216323.71,3.67
1258871.28,21.35,0.85,216323.71,3.67
1262011.38,21.4,0.91,220063.74,3.73
1261806.41,21.4,0.91,220079.03,3.73
1261601.43,21.4,0.91,220006.34,3.73
1261601.43,21.4,0.91,220006.34,3.73
1261396.46,21.4,0.91,220021.63,3.73
1261396.46,21.4,0.91,220021.63,3.73
1261191.48,21.4,0.91,219948.94,3.73
1261191.48,21.4,0.91,219948.94,3.73
1261424.79,21.41,0.91,219683.12,3.73
1261424.79,21.41,0.91,219683.12,3.73
1261219.81,21.41,0.91,219698.4,3.73
1260840.4,21.41,0.91,219330.58,3.72
1260635.43,21.41,0.91,219257.89,3.72
1260430.45,21.41,0.91,219273.18,3.72
1260225.48,21.41,0.91,219200.49,3.72
1260225.48,21.41,0.91,219286.57,3.73
1259691.52,21.4,0.9,218710.15,3.72
1259691.52,21.4,0.9,218910.86,3.72
1259486.54,21.4,0.9,218837.0,3.72
1259609.78,21.41,0.91,219157.23,3.72
1259416.47,21.41,0.91,218495.92,3.71
1259649.12,21.41,0.91,218654.99,3.72
1259200.41,21.41,0.91,218206.28,3.71
1259200.41,21.41,0.91,219658.72,3.73
1258995.44,21.41,0.91,219601.32,3.73
1258979.24,21.41,0.91,219782.08,3.74
1258974.71,21.41,0.91,219298.49,3.73
1258866.14,21.41,0.92,219113.19,3.73
1258661.17,21.41,0.92,219055.79,3.73
1258875.76,21.42,0.92,219466.55,3.73
1259110.2,21.42,0.93,219557.14,3.74
1258905.22,21.42,0.93,219839.7,3.74
1258700.24,21.42,0.93,219841.29,3.74
1258495.27,21.43,0.93,219782.3,3.74
1258479.07,21.43,0.93,219876.54,3.74
1258693.67,21.43,0.94,220317.77,3.75
1258534.89,21.43,0.93,220167.23,3.75
1258341.58,21.43,0.93,219422.53,3.74
1258233.02,21.43,0.94,219323.76,3.74
1258039.7,21.43,0.94,218579.07,3.72
1257741.49,21.43,0.93,218288.83,3.72
1257794.15,21.43,0.93,218351.29,3.72
1257589.17,21.43,0.94,218352.87,3.72
1257209.77,21.43,0.93,217982.32,3.72
1257193.57,21.43,0.93,218073.17,3.72
1257354.98,21.43,0.94,218356.86,3.72
1257150.0,21.43,0.94,218299.46,3.72
1256945.03,21.43,0.94,218299.46,3.72
1256928.83,21.44,0.94,218393.7,3.72
