ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
653110.76,11.06,0.84,176394.95,2.99
654941.1,11.09,0.87,179306.08,3.04
655331.52,11.1,0.88,179160.22,3.03
655229.3,11.1,0.88,179068.53,3.03
655127.08,11.1,0.88,179068.53,3.03
655024.86,11.1,0.88,179037.98,3.03
655248.15,11.1,0.88,179299.37,3.04
655145.93,11.1,0.88,179306.16,3.04
654460.35,11.09,0.87,178560.29,3.03
654358.13,11.09,0.87,178461.82,3.03
653999.96,11.09,0.87,178157.82,3.02
653897.74,11.09,0.87,178141.08,3.02
653795.52,11.09,0.87,178066.14,3.02
653693.3,11.09,0.87,178072.92,3.02
653693.3,11.09,0.87,178072.92,3.02
653591.07,11.09,0.87,177974.45,3.02
653917.02,11.1,0.87,178087.3,3.02
653814.8,11.1,0.87,178317.73,3.03
653712.58,11.1,0.87,178300.98,3.03
653417.07,11.09,0.87,178008.45,3.02
653048.9,11.09,0.86,177633.49,3.02
653374.85,11.09,0.87,177932.54,3.02
653105.53,11.09,0.87,177715.6,3.02
653191.93,11.09,0.87,177829.44,3.02
653517.88,11.1,0.88,178131.98,3.03
653415.66,11.1,0.88,178123.45,3.03
653415.66,11.1,0.88,178123.45,3.03
653313.44,11.1,0.88,178040.29,3.02
653412.96,11.1,0.88,177641.45,3.02
653412.96,11.1,0.88,177641.45,3.02
653044.79,11.1,0.87,177378.78,3.01
652838.74,11.1,0.87,177071.29,3.01
652736.52,11.1,0.87,176979.6,3.01
652634.3,11.1,0.87,176979.6,3.01
652960.25,11.1,0.88,177090.45,3.01
652832.99,11.1,0.88,177243.36,3.01
652730.77,11.1,0.88,177153.39,3.01
652628.55,11.1,0.88,177160.18,3.01
652628.55,11.1,0.88,177160.18,3.01
652628.55,11.1,0.88,177160.18,3.01
652526.33,11.1,0.88,177061.7,3.01
652424.11,11.1,0.88,177031.15,3.01
652321.89,11.1,0.88,176970.02,3.01
652712.31,11.11,0.89,176824.16,3.01
652216.73,11.1,0.88,176268.29,3.0
652550.76,11.11,0.89,176293.32,3.0
652448.54,11.11,0.89,176621.91,3.01
652448.54,11.11,0.89,177041.93,3.01
652346.32,11.11,0.89,176950.24,3.01
652135.4,11.11,0.88,176771.02,3.01
652412.02,11.11,0.89,177151.3,3.02
652456.98,11.11,0.89,177586.87,3.02
652543.38,11.12,0.89,177495.18,3.02
652441.16,11.12,0.89,177681.72,3.03
652441.16,11.12,0.89,177681.72,3.03
653146.0,11.13,0.91,177790.0,3.03
653043.78,11.13,0.91,177796.78,3.03
653130.19,11.13,0.91,177867.52,3.03
652753.94,11.13,0.91,177482.21,3.03
652651.72,11.13,0.91,177489.0,3.03
652549.5,11.13,0.91,177390.52,3.03
652772.79,11.13,0.91,177457.48,3.03
652670.57,11.13,0.91,177621.36,3.03
652511.94,11.13,0.91,177462.74,3.03
652216.43,11.13,0.9,177170.21,3.02
652114.21,11.13,0.9,177159.27,3.02
652011.99,11.13,0.9,177074.77,3.02
652011.99,11.13,0.9,177074.77,3.02
651909.77,11.13,0.9,176983.08,3.02
651909.77,11.13,0.9,176983.08,3.02
651751.14,11.12,0.9,176824.45,3.02
651592.51,11.12,0.9,176701.99,3.02
651678.92,11.12,0.9,176871.2,3.02
652069.34,11.13,0.91,176725.34,3.02
651573.76,11.13,0.9,176169.47,3.01
651471.54,11.13,0.9,176160.95,3.01
651369.32,11.13,0.9,176077.78,3.01
651267.1,11.13,0.9,176084.57,3.01
651353.51,11.13,0.91,176155.3,3.01
651251.28,11.13,0.91,176138.56,3.01
651577.23,11.14,0.91,176437.61,3.02
651987.46,11.15,0.92,176251.26,3.01
651885.23,11.15,0.92,176174.99,3.01
651369.86,11.14,0.92,175659.61,3.0
651267.63,11.14,0.92,175640.44,3.0
651165.41,11.14,0.92,175623.7,3.0
650797.24,11.13,0.91,175309.7,3.0
650695.02,11.13,0.91,175234.76,3.0
650781.43,11.14,0.91,175348.61,3.0
650679.21,11.14,0.91,175312.28,3.0
651384.05,11.15,0.93,175420.55,3.0
653163.02,11.18,0.96,176729.79,3.03
653060.8,11.18,0.96,176638.1,3.02
652958.58,11.18,0.96,176638.1,3.02
653048.49,11.18,0.96,182297.82,3.12
652946.27,11.18,0.96,182267.26,3.12
652844.05,11.18,0.96,182206.13,3.12
652741.82,11.18,0.96,182114.44,3.12
652639.6,11.18,0.96,182114.44,3.12
652537.38,11.18,0.96,182022.75,3.12
652347.17,11.18,0.96,181811.68,3.12
652244.95,11.18,0.96,181811.68,3.12
652142.73,11.18,0.96,181794.94,3.12
652040.51,11.18,0.96,181719.99,3.12
652430.93,11.19,0.97,181574.14,3.11
656879.41,11.27,1.04,183586.61,3.15
656777.19,11.27,1.04,183491.17,3.15
656091.62,11.26,1.03,182745.3,3.14
655989.4,11.26,1.03,182745.3,3.14
655887.17,11.26,1.03,182714.74,3.14
655778.55,11.26,1.03,182608.79,3.13
655864.95,11.26,1.04,182716.87,3.14
655762.73,11.26,1.04,182723.65,3.14
655660.51,11.26,1.04,182625.18,3.14
655558.29,11.26,1.04,182533.49,3.13
657325.48,11.29,1.07,184368.65,3.17
657223.26,11.29,1.07,184368.65,3.17
657322.78,11.29,1.07,183969.81,3.16
657648.11,11.3,1.08,184196.93,3.16
