ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
239,498,419880,6212,419880
239,498,420880,6212,420880
239,498,421430,6212,421430
240,500,422430,6212,422430
240,500,422430,6212,422430
240,500,423430,6212,423430
241,502,424430,6212,424430
241,502,424910,6212,424910
242,504,425720,6212,425720
242,504,426720,6212,426720
243,506,427530,6212,427530
243,506,428530,6212,428530
243,506,429010,6212,429010
244,508,430010,6212,430010
244,508,431010,6212,431010
245,510,432010,6212,432010
245,510,433010,6212,433010
245,510,433010,6212,433010
246,512,434010,6212,434010
246,512,435010,6212,435010
247,514,435480,6212,435480
247,514,435480,6212,435480
248,518,439480,6212,439480
248,518,440480,6212,440480
248,518,440480,6212,440480
249,520,441290,6212,441290
249,520,442290,6212,442290
249,520,442760,6212,442760
250,522,443760,6212,443760
250,522,444760,6212,444760
251,524,445760,6212,445760
252,532,445760,6212,445760
252,532,446760,6212,446760
253,534,447760,6212,447760
253,534,448080,6212,448080
254,536,449080,6212,449080
254,536,449310,6212,449310
254,536,450120,6212,450120
255,538,451120,6212,451120
255,538,451930,6212,451930
256,540,452930,6212,452930
256,540,453160,6212,453160
257,542,453810,6212,453810
257,542,453810,6212,453810
257,542,454130,6212,454130
257,542,455130,6212,455130
257,542,455130,6212,455130
257,542,456130,6212,456130
258,544,457130,6212,457130
258,544,458130,6212,458130
259,546,458940,6212,458940
259,546,459260,6212,459260
260,548,460260,6212,460260
260,548,461070,6212,461070
261,550,462070,6212,462070
261,550,463070,6212,463070
262,552,464070,6212,464070
262,552,464540,6212,464540
262,552,465540,6212,465540
263,554,466540,6212,466540
263,554,467190,6212,467190
264,556,468000,6212,468000
264,556,469000,6212,469000
265,558,470000,6212,470000
265,558,470810,6212,470810
265,558,470810,6212,470810
265,558,470810,6212,470810
266,560,471810,6212,471810
266,560,471860,6212,471860
266,560,472860,6212,472860
267,562,473860,6212,473860
267,562,474670,6212,474670
268,564,475480,6212,475480
268,564,476480,6212,476480
269,566,477480,6212,477480
269,566,478290,6212,478290
270,568,479100,6212,479100
270,568,479570,6212,479570
271,576,479570,6212,479570
272,578,480570,6212,480570
272,578,480800,6212,480800
272,578,481800,6212,481800
273,580,482800,6212,482800
273,580,483800,6212,483800
273,580,483800,6212,483800
273,580,484120,6212,484120
274,582,485120,6212,485120
274,582,486120,6212,486120
275,584,486710,6212,486710
275,584,487520,6212,487520
275,584,487840,6212,487840
276,586,488840,6212,488840
276,586,489840,6212,489840
277,588,490840,6212,490840
277,588,491160,6212,491160
277,588,492160,6212,492160
278,590,492970,6212,492970
279,592,493970,6212,493970
279,592,494970,6212,494970
280,594,495780,6212,495780
280,594,496780,6212,496780
280,594,497250,6212,497250
281,596,498060,6212,498060
281,596,498870,6212,498870
281,596,498870,6212,498870
282,598,499520,6212,499520
283,600,500520,6212,500520
283,600,500520,6212,500520
283,600,501110,6212,501110
283,600,502110,6212,502110
284,602,502580,6212,502580
285,604,503580,6212,503580
285,604,504580,6212,504580
286,606,505580,6212,505580
286,606,506390,6212,506390
287,608,507390,6212,507390
287,608,507500,6212,507500
287,608,508310,6212,508310
287,608,509310,6212,509310
288,610,510310,6212,510310
288,610,511310,6212,511310
289,614,515310,6212,515310
290,616,516310,6212,516310
290,616,517120,6212,517120
290,616,517120,6212,517120
291,618,518120,6212,518120
291,618,519120,6212,519120
291,618,519340,6212,519340
292,620,520150,6212,520150
292,620,521150,6212,521150
293,622,522150,6212,522150
294,624,522620,6212,522620
294,624,523620,6212,523620
294,624,524620,6212,524620
295,626,525620,6212,525620
295,626,525850,6212,525850
295,626,526320,6212,526320
295,626,526780,6212,526780
296,628,527780,6212,527780
296,628,528590,6212,528590
296,628,528590,6212,528590
296,628,528590,6212,528590
297,630,529590,6212,529590
297,630,529590,6212,529590
297,630,530240,6212,530240
297,630,530560,6212,530560
298,632,531370,6212,531370
298,632,531600,6212,531600
298,632,532600,6212,532600
299,634,533600,6212,533600
299,634,533920,6212,533920
300,636,534730,6212,534730
300,636,535730,6212,535730
301,638,536730,6212,536730
301,638,537540,6212,537540
301,638,538190,6212,538190
302,640,539190,6212,539190
302,640,539840,6212,539840
302,640,540160,6212,540160
303,642,541160,6212,541160
303,642,541480,6212,541480
304,644,542480,6212,542480
304,644,543480,6212,543480
304,644,543950,6212,543950
305,646,544760,6212,544760
305,646,545760,6212,545760
306,648,546570,6212,546570
306,648,547570,6212,547570
307,650,548380,6212,548380
307,650,549380,6212,549380
308,652,549850,6212,549850
308,652,550500,6212,550500
309,654,551310,6212,551310
309,654,551770,6212,551770
309,654,552420,6212,552420
310,656,553420,6212,553420
310,656,554420,6212,554420
311,658,555420,6212,555420
311,658,555890,6212,555890
312,660,556700,6212,556700
312,660,557700,6212,557700
313,662,558700,6212,558700
313,662,559700,6212,559700
313,662,559860,6212,559860
314,664,560860,6212,560860
314,664,561180,6212,561180
314,664,562180,6212,562180
315,666,563180,6212,563180
315,666,563400,6212,563400
316,668,564400,6212,564400
316,668,565400,6212,565400
316,668,566400,6212,566400
317,670,567400,6212,567400
317,670,568210,6212,568210
318,672,568440,6212,568440
318,672,568910,6212,568910
318,672,569910,6212,569910
319,674,570910,6212,570910
319,674,571140,6212,571140
319,674,572140,6212,572140
320,676,573140,6212,573140
320,676,574140,6212,574140
320,676,574140,6212,574140
321,678,574690,6212,574690
321,678,575690,6212,575690
322,680,576690,6212,576690
322,680,577500,6212,577500
323,682,578500,6212,578500
323,682,578970,6212,578970
324,684,579620,6212,579620
324,684,580620,6212,580620
325,686,581620,6212,581620
325,686,582620,6212,582620
326,688,583620,6212,583620
326,688,584620,6212,584620
327,690,585620,6212,585620
327,690,586430,6212,586430
327,690,586430,6212,586430
327,690,586910,6212,586910
328,692,587910,6212,587910
328,692,588370,6212,588370
329,694,589370,6212,589370
329,694,590370,6212,590370
330,696,591180,6212,591180
331,704,591180,6212,591180
331,704,592180,6212,592180
332,706,593180,6212,593180
332,706,594180,6212,594180
332,706,594180,6212,594180
332,706,594180,6212,594180
333,708,595180,6212,595180
333,708,596180,6212,596180
334,710,597180,6212,597180
334,710,598180,6212,598180
335,712,599180,6212,599180
335,712,600180,6212,600180
335,712,600500,6212,600500
336,714,601500,6212,601500
336,714,601500,6212,601500
337,722,609500,6212,609500
337,722,609970,6212,609970
337,722,609970,6212,609970
338,724,610970,6212,610970
339,726,611970,6212,611970
339,726,611970,6212,611970
339,726,612970,6212,612970
340,728,613970,6212,613970
340,728,613970,6212,613970
340,728,614970,6212,614970
340,728,615970,6212,615970
340,728,616440,6212,616440
340,728,616440,6212,616440
341,730,617250,6212,617250
341,730,618250,6212,618250
341,730,618360,6212,618360
342,732,619360,6212,619360
342,732,620360,6212,620360
342,732,620580,6212,620580
343,734,621580,6212,621580
343,734,621580,6212,621580
343,734,622580,6212,622580
343,734,622810,6212,622810
344,736,623810,6212,623810
344,736,624620,6212,624620
345,738,625620,6212,625620
345,738,626620,6212,626620
346,740,627620,6212,627620
346,740,628620,6212,628620
347,742,628940,6212,628940
348,744,629940,6212,629940
348,744,630940,6212,630940
349,746,631940,6212,631940
349,746,632260,6212,632260
349,746,633070,6212,633070
349,746,633880,6212,633880
350,748,634530,6212,634530
351,750,635000,6212,635000
351,750,636000,6212,636000
351,750,636810,6212,636810
352,752,637810,6212,637810
352,752,638130,6212,638130
353,756,638130,6212,638130
353,756,639130,6212,639130
354,758,640130,6212,640130
354,758,640130,6212,640130
354,758,640940,6212,640940
355,760,641940,6212,641940
355,760,642940,6212,642940
356,762,643400,6212,643400
356,762,643400,6212,643400
356,762,644400,6212,644400
357,764,645210,6212,645210
357,764,645530,6212,645530
357,764,645900,6212,645900
357,764,646900,6212,646900
358,766,647900,6212,647900
358,766,648370,6212,648370
359,768,649370,6212,649370
359,768,650370,6212,650370
360,770,651370,6212,651370
360,770,652370,6212,652370
361,772,653370,6212,653370
362,774,654370,6212,654370
362,774,654600,6212,654600
362,774,655410,6212,655410
362,774,656220,6212,656220
