ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
220,870,673020,6212,673020
220,870,674020,6212,674020
220,870,675020,6212,675020
221,872,675830,6212,675830
221,872,676830,6212,676830
221,872,677150,6212,677150
221,872,678150,6212,678150
221,872,679150,6212,679150
221,872,680150,6212,680150
221,872,680150,6212,680150
222,874,681150,6212,681150
222,874,682150,6212,682150
223,878,683150,6212,683150
224,886,684150,6212,684150
224,886,685150,6212,685150
224,886,685960,6212,685960
224,886,685960,6212,685960
224,886,685960,6212,685960
224,886,686960,6212,686960
224,886,687610,6212,687610
224,886,688610,6212,688610
225,894,689610,6212,689610
226,896,690200,6212,690200
226,896,690200,6212,690200
226,896,690430,6212,690430
226,896,691430,6212,691430
226,896,691890,6212,691890
226,896,692890,6212,692890
226,896,692890,6212,692890
226,896,693890,6212,693890
226,896,694260,6212,694260
226,896,695260,6212,695260
226,896,696070,6212,696070
226,896,697070,6212,697070
227,904,698070,6212,698070
227,904,699070,6212,699070
228,906,699540,6212,699540
229,908,700540,6212,700540
229,908,701540,6212,701540
229,908,702540,6212,702540
229,908,703540,6212,703540
230,910,704540,6212,704540
230,910,705540,6212,705540
230,910,705540,6212,705540
230,910,706000,6212,706000
230,910,707000,6212,707000
230,910,707000,6212,707000
230,910,708000,6212,708000
230,910,709000,6212,709000
230,910,709000,6212,709000
230,910,709000,6212,709000
230,910,710000,6212,710000
