ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
221,522,410020,6212,410020
221,522,411020,6212,411020
222,524,412020,6212,412020
222,524,413020,6212,413020
223,526,413240,6212,413240
223,526,413240,6212,413240
224,528,414240,6212,414240
225,536,422240,6212,422240
225,536,423240,6212,423240
225,536,424050,6212,424050
225,536,424050,6212,424050
225,536,425050,6212,425050
226,538,426050,6212,426050
227,540,426270,6212,426270
227,540,426920,6212,426920
228,542,427920,6212,427920
228,542,428920,6212,428920
229,544,429920,6212,429920
229,544,430570,6212,430570
230,546,431380,6212,431380
230,546,432380,6212,432380
230,546,433030,6212,433030
231,548,433500,6212,433500
231,548,433500,6212,433500
231,548,434310,6212,434310
231,548,434780,6212,434780
232,550,435250,6212,435250
232,550,435720,6212,435720
232,550,436190,6212,436190
233,552,437000,6212,437000
234,554,438000,6212,438000
234,554,438320,6212,438320
234,554,439320,6212,439320
234,554,440130,6212,440130
234,554,440600,6212,440600
235,556,441600,6212,441600
235,556,441920,6212,441920
236,558,442730,6212,442730
236,558,442890,6212,442890
236,558,443890,6212,443890
236,558,444540,6212,444540
236,558,444540,6212,444540
236,558,445540,6212,445540
237,560,446010,6212,446010
238,562,447010,6212,447010
238,562,447330,6212,447330
239,564,448330,6212,448330
239,564,449330,6212,449330
239,564,449700,6212,449700
240,566,450700,6212,450700
241,568,451700,6212,451700
242,570,452700,6212,452700
242,570,453700,6212,453700
242,570,454700,6212,454700
243,578,455700,6212,455700
243,578,456700,6212,456700
243,578,456700,6212,456700
243,578,456700,6212,456700
243,578,456930,6212,456930
243,578,457930,6212,457930
243,578,457930,6212,457930
243,578,458250,6212,458250
243,578,458720,6212,458720
244,582,459720,6212,459720
244,582,460720,6212,460720
244,582,461720,6212,461720
245,584,462530,6212,462530
245,584,463340,6212,463340
245,584,463820,6212,463820
245,584,464820,6212,464820
245,584,465820,6212,465820
245,584,466820,6212,466820
245,584,466820,6212,466820
245,584,467820,6212,467820
245,584,468820,6212,468820
246,586,469630,6212,469630
246,586,470630,6212,470630
246,586,471100,6212,471100
247,588,472100,6212,472100
248,590,472910,6212,472910
248,590,473720,6212,473720
248,590,474720,6212,474720
248,590,475720,6212,475720
248,590,476720,6212,476720
249,592,477530,6212,477530
249,592,477760,6212,477760
249,592,478760,6212,478760
249,592,478760,6212,478760
250,594,479760,6212,479760
250,594,479980,6212,479980
250,594,480450,6212,480450
251,596,481260,6212,481260
251,596,482260,6212,482260
252,598,483260,6212,483260
252,598,484260,6212,484260
252,598,485070,6212,485070
253,600,485660,6212,485660
253,600,486660,6212,486660
254,608,494660,6212,494660
254,608,495210,6212,495210
255,610,496020,6212,496020
255,610,496020,6212,496020
256,612,497020,6212,497020
257,614,498020,6212,498020
257,614,498020,6212,498020
258,616,499020,6212,499020
259,618,500020,6212,500020
259,618,500250,6212,500250
260,620,501250,6212,501250
260,620,501410,6212,501410
260,620,502410,6212,502410
261,622,503410,6212,503410
261,622,504410,6212,504410
261,622,504880,6212,504880
261,622,505350,6212,505350
262,624,505820,6212,505820
263,626,506820,6212,506820
263,626,507630,6212,507630
263,626,508630,6212,508630
263,626,509630,6212,509630
263,626,509950,6212,509950
264,628,510760,6212,510760
264,628,511080,6212,511080
264,628,511550,6212,511550
264,628,512360,6212,512360
265,630,512830,6212,512830
266,632,513830,6212,513830
267,634,514300,6212,514300
267,634,514300,6212,514300
267,634,514620,6212,514620
267,634,515620,6212,515620
267,634,516620,6212,516620
267,634,517430,6212,517430
268,642,518430,6212,518430
268,642,518900,6212,518900
269,644,519220,6212,519220
269,644,519690,6212,519690
269,644,520500,6212,520500
270,646,520970,6212,520970
270,646,521970,6212,521970
270,646,522970,6212,522970
270,646,523970,6212,523970
270,646,523970,6212,523970
271,648,524620,6212,524620
271,648,525620,6212,525620
271,648,526430,6212,526430
271,648,526430,6212,526430
271,648,527240,6212,527240
271,648,528240,6212,528240
271,648,529240,6212,529240
272,650,529710,6212,529710
272,650,529710,6212,529710
272,650,529710,6212,529710
273,652,530710,6212,530710
274,654,531710,6212,531710
274,654,532710,6212,532710
275,656,533710,6212,533710
276,658,534710,6212,534710
276,658,535030,6212,535030
276,658,536030,6212,536030
277,660,537030,6212,537030
277,660,537030,6212,537030
277,660,537030,6212,537030
278,662,538030,6212,538030
278,662,539030,6212,539030
278,662,539500,6212,539500
279,664,540500,6212,540500
279,664,540500,6212,540500
280,666,541150,6212,541150
280,666,542150,6212,542150
280,666,542620,6212,542620
280,666,542620,6212,542620
280,666,542730,6212,542730
281,668,543200,6212,543200
282,670,544200,6212,544200
282,670,544200,6212,544200
282,670,545200,6212,545200
282,670,546200,6212,546200
283,672,547200,6212,547200
283,672,548200,6212,548200
283,672,549200,6212,549200
284,674,550200,6212,550200
284,674,551200,6212,551200
284,674,551430,6212,551430
285,676,552430,6212,552430
285,676,553430,6212,553430
285,676,554240,6212,554240
286,678,555240,6212,555240
286,678,556240,6212,556240
286,678,556700,6212,556700
286,678,557700,6212,557700
287,680,558160,6212,558160
288,682,559160,6212,559160
288,682,559970,6212,559970
288,682,559970,6212,559970
288,682,560970,6212,560970
288,682,561970,6212,561970
289,684,562970,6212,562970
290,686,563780,6212,563780
290,686,564370,6212,564370
291,688,564840,6212,564840
291,688,565840,6212,565840
292,692,569840,6212,569840
292,692,569840,6212,569840
292,692,570310,6212,570310
292,692,570310,6212,570310
292,692,570630,6212,570630
292,692,571440,6212,571440
293,694,572440,6212,572440
293,694,573440,6212,573440
293,694,573440,6212,573440
294,696,574440,6212,574440
294,696,574670,6212,574670
295,698,575670,6212,575670
295,698,576670,6212,576670
296,700,577670,6212,577670
296,700,577670,6212,577670
296,700,578670,6212,578670
297,702,579140,6212,579140
297,702,579790,6212,579790
298,704,580790,6212,580790
298,704,581790,6212,581790
298,704,581790,6212,581790
298,704,582790,6212,582790
298,704,583260,6212,583260
299,706,583580,6212,583580
299,706,584390,6212,584390
300,708,585200,6212,585200
301,710,585670,6212,585670
301,710,586670,6212,586670
