ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1177383.99,19.32,0.72,225415.5,3.7
1177090.1,19.32,0.72,225060.31,3.69
1176923.07,19.32,0.72,225056.17,3.69
1176629.19,19.32,0.71,224818.03,3.69
1176704.57,19.32,0.71,229381.64,3.77
1175992.68,19.31,0.7,228638.41,3.75
1175992.68,19.31,0.7,228638.41,3.75
1175825.65,19.31,0.7,228560.92,3.75
1175658.62,19.31,0.7,228556.79,3.75
1175679.55,19.31,0.71,228654.11,3.76
1175512.52,19.31,0.71,228652.1,3.76
1179487.22,19.38,0.77,231106.27,3.8
1179320.18,19.38,0.77,231026.65,3.8
1179582.17,19.39,0.78,231328.19,3.8
1179603.1,19.39,0.78,231425.52,3.8
1179436.07,19.39,0.78,231348.02,3.8
1179592.93,19.39,0.79,231592.74,3.81
1179592.93,19.39,0.79,231592.74,3.81
1179592.93,19.39,0.79,231592.74,3.81
1179373.69,19.39,0.78,231443.37,3.81
1179079.8,19.39,0.78,231232.14,3.8
1178806.59,19.38,0.78,230973.86,3.8
1178811.77,19.39,0.78,230534.71,3.79
1178644.74,19.39,0.78,230530.58,3.79
1178548.72,19.39,0.78,230401.55,3.79
1178548.72,19.39,0.78,230372.59,3.79
1178548.72,19.39,0.78,230401.9,3.79
1178381.69,19.39,0.78,230399.9,3.79
1178402.62,19.39,0.78,230323.19,3.79
1178402.62,19.39,0.78,230323.19,3.79
1178402.62,19.39,0.78,230293.88,3.79
1178423.56,19.39,0.78,230657.02,3.8
1178202.28,19.39,0.78,230563.99,3.79
1177473.62,19.38,0.77,229849.78,3.78
1177314.07,19.38,0.77,229845.39,3.78
1177147.04,19.38,0.77,229765.77,3.78
1177303.89,19.39,0.78,229803.38,3.78
1177111.3,19.39,0.78,229848.08,3.79
1177132.23,19.39,0.78,230152.51,3.79
1177132.23,19.39,0.78,230183.84,3.79
1176939.64,19.39,0.78,230122.76,3.79
1176747.05,19.39,0.78,230098.91,3.79
1176580.02,19.39,0.78,230077.41,3.79
1176585.2,19.39,0.78,229638.26,3.79
1176833.47,19.4,0.79,229899.13,3.79
1176463.26,19.39,0.78,229492.38,3.78
1176296.23,19.4,0.78,229432.26,3.78
1177055.91,19.41,0.8,229754.05,3.79
1176863.32,19.41,0.8,230427.17,3.8
1176689.58,19.41,0.8,230409.69,3.8
1176951.56,19.42,0.8,230505.03,3.8
1177196.69,19.42,0.81,230313.23,3.8
1176690.25,19.42,0.81,229776.41,3.79
1176711.18,19.42,0.81,230079.93,3.8
1175999.29,19.41,0.8,229336.71,3.79
1175999.29,19.41,0.8,229318.25,3.79
1176244.42,19.42,0.81,229137.58,3.78
1175875.39,19.41,0.8,228898.48,3.78
1176067.08,19.42,0.81,228775.44,3.78
1176329.07,19.43,0.81,228870.78,3.78
1176058.33,19.42,0.81,228930.59,3.78
1175891.3,19.42,0.81,228921.64,3.78
1175912.23,19.43,0.81,229014.56,3.78
1175933.17,19.43,0.82,229111.89,3.79
1176203.25,19.44,0.82,229420.11,3.79
1176208.43,19.44,0.82,228980.97,3.78
1176276.49,19.44,0.83,229025.08,3.79
1176072.35,19.44,0.83,228900.75,3.78
1176074.39,19.44,0.83,228925.43,3.78
1176074.39,19.44,0.83,228925.43,3.78
1176074.39,19.44,0.83,228925.43,3.78
1175907.36,19.44,0.83,228852.75,3.78
1175928.29,19.44,0.83,228950.08,3.79
1175260.16,19.44,0.83,228910.64,3.79
1175093.13,19.44,0.83,228833.15,3.79
1174926.1,19.44,0.83,228829.02,3.79
1174759.06,19.44,0.83,228751.87,3.79
1174047.17,19.44,0.82,227997.52,3.77
1173880.14,19.44,0.82,227993.04,3.78
1173513.03,19.43,0.82,227745.51,3.77
1173345.99,19.43,0.82,227668.02,3.77
1173178.96,19.43,0.82,227663.88,3.77
1173440.95,19.44,0.82,227965.43,3.78
1173273.92,19.44,0.82,227956.49,3.78
1173106.89,19.44,0.82,227883.81,3.78
1173112.07,19.44,0.82,227444.66,3.77
1173641.05,19.45,0.84,227505.38,3.77
1173272.03,19.45,0.83,227266.27,3.77
1173104.99,19.45,0.83,227244.77,3.77
1172937.96,19.45,0.83,227184.65,3.77
1173183.09,19.46,0.84,227003.98,3.77
1172990.5,19.46,0.84,226996.76,3.77
1172797.91,19.46,0.84,226915.33,3.76
1173009.18,19.46,0.84,227087.73,3.77
1172413.46,19.46,0.84,226538.61,3.76
1172413.46,19.46,0.84,226538.61,3.76
1172246.43,19.46,0.84,226536.6,3.76
1172079.4,19.46,0.84,226456.99,3.76
1171912.36,19.46,0.84,226448.04,3.76
1172263.74,19.46,0.84,226373.35,3.76
1172284.67,19.47,0.85,227070.05,3.77
1172305.6,19.47,0.85,227167.37,3.77
1171916.93,19.47,0.84,226735.66,3.77
1172178.92,19.47,0.85,227037.2,3.77
1172178.92,19.47,0.85,227037.2,3.77
1171995.7,19.47,0.85,226868.93,3.77
1171626.68,19.47,0.84,226629.82,3.77
1172042.57,19.47,0.85,226077.13,3.76
1171330.68,19.46,0.84,225322.77,3.74
1171293.97,19.47,0.84,225845.0,3.75
1171126.93,19.47,0.84,225772.32,3.75
1171132.12,19.47,0.85,225333.18,3.75
1171132.12,19.47,0.85,225333.18,3.75
1170786.18,19.46,0.84,224928.62,3.74
1170619.15,19.47,0.84,224851.47,3.74
1170452.12,19.47,0.84,224846.99,3.74
1170356.1,19.47,0.84,224717.96,3.74
1170157.83,19.47,0.84,224608.82,3.74
1169959.56,19.47,0.84,224756.49,3.74
1170221.55,19.47,0.85,224851.83,3.74
1170032.7,19.47,0.85,224745.55,3.74
1170053.63,19.48,0.85,225049.08,3.75
1169886.6,19.48,0.85,224971.58,3.75
1169517.58,19.47,0.85,224732.48,3.74
1169534.1,19.47,0.85,224725.88,3.74
1169555.04,19.47,0.85,224823.21,3.74
1169575.97,19.48,0.85,224967.16,3.75
1169575.97,19.48,0.85,224931.5,3.75
1169408.94,19.48,0.85,224927.37,3.75
1169201.24,19.48,0.85,224760.4,3.74
1169609.45,19.49,0.86,224396.28,3.74
