ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
203,458,277740,6212,277740
203,458,277740,6212,277740
203,458,277740,6212,277740
203,458,278010,6212,278010
203,458,278820,6212,278820
204,460,279290,6212,279290
204,460,279290,6212,279290
204,460,279520,6212,279520
204,460,280330,6212,280330
205,462,281140,6212,281140
205,462,281950,6212,281950
206,464,282760,6212,282760
206,464,283080,6212,283080
206,464,283540,6212,283540
206,464,283540,6212,283540
206,464,283700,6212,283700
206,464,283860,6212,283860
206,464,284180,6212,284180
207,466,284650,6212,284650
207,466,285460,6212,285460
207,466,285930,6212,285930
207,466,286150,6212,286150
208,468,286960,6212,286960
208,468,287280,6212,287280
209,470,288090,6212,288090
209,470,288900,6212,288900
209,470,289220,6212,289220
209,470,289220,6212,289220
210,472,290030,6212,290030
210,472,290350,6212,290350
210,472,291160,6212,291160
210,472,291160,6212,291160
211,474,291970,6212,291970
211,474,292780,6212,292780
212,476,293590,6212,293590
212,476,294140,6212,294140
213,478,294610,6212,294610
213,478,295080,6212,295080
213,478,295080,6212,295080
213,478,295080,6212,295080
213,478,295730,6212,295730
213,478,295730,6212,295730
213,478,295730,6212,295730
214,480,296540,6212,296540
214,480,297130,6212,297130
214,480,297180,6212,297180
214,480,297530,6212,297530
214,480,297850,6212,297850
215,482,298660,6212,298660
215,482,299470,6212,299470
216,484,300280,6212,300280
216,484,300330,6212,300330
216,484,300490,6212,300490
216,484,301140,6212,301140
217,486,301790,6212,301790
217,486,301790,6212,301790
217,486,302600,6212,302600
218,488,303250,6212,303250
218,488,304060,6212,304060
219,490,304530,6212,304530
219,490,304530,6212,304530
219,490,305340,6212,305340
220,492,306150,6212,306150
220,492,306960,6212,306960
220,492,306960,6212,306960
221,494,307770,6212,307770
221,494,307770,6212,307770
221,494,308240,6212,308240
221,494,308240,6212,308240
221,494,309050,6212,309050
222,496,309520,6212,309520
222,496,309520,6212,309520
222,496,309520,6212,309520
222,496,309840,6212,309840
222,496,310650,6212,310650
222,496,311120,6212,311120
223,498,311590,6212,311590
223,498,312400,6212,312400
223,498,312870,6212,312870
224,500,313680,6212,313680
224,500,314490,6212,314490
224,500,314860,6212,314860
225,502,315330,6212,315330
225,502,315330,6212,315330
225,502,315330,6212,315330
225,502,315790,6212,315790
225,502,316110,6212,316110
225,502,316270,6212,316270
225,502,317080,6212,317080
226,504,317550,6212,317550
226,504,317550,6212,317550
226,504,317710,6212,317710
226,504,318520,6212,318520
226,504,318840,6212,318840
226,504,319160,6212,319160
226,504,319630,6212,319630
227,506,319950,6212,319950
227,506,320600,6212,320600
227,506,321250,6212,321250
227,506,321570,6212,321570
228,508,322380,6212,322380
228,508,323190,6212,323190
229,510,323740,6212,323740
229,510,324550,6212,324550
229,510,324770,6212,324770
230,512,325090,6212,325090
230,512,325560,6212,325560
230,512,326020,6212,326020
230,512,326250,6212,326250
231,514,327060,6212,327060
231,514,327060,6212,327060
231,514,327530,6212,327530
232,516,328340,6212,328340
232,516,329150,6212,329150
233,518,329960,6212,329960
233,518,330770,6212,330770
234,520,331580,6212,331580
234,520,332390,6212,332390
234,520,332860,6212,332860
234,520,332860,6212,332860
235,522,333330,6212,333330
235,522,333800,6212,333800
235,522,334030,6212,334030
235,522,334030,6212,334030
235,522,334250,6212,334250
235,522,334250,6212,334250
235,522,334570,6212,334570
235,522,334570,6212,334570
235,522,335030,6212,335030
236,524,335510,6212,335510
236,524,335980,6212,335980
236,524,336450,6212,336450
237,526,337260,6212,337260
237,526,338070,6212,338070
237,526,338070,6212,338070
237,526,338540,6212,338540
238,528,339010,6212,339010
238,528,339660,6212,339660
238,528,339980,6212,339980
238,528,340450,6212,340450
239,530,341260,6212,341260
239,530,341730,6212,341730
239,530,342200,6212,342200
240,532,342670,6212,342670
240,532,342670,6212,342670
240,532,342670,6212,342670
240,532,343140,6212,343140
240,532,343730,6212,343730
241,534,344540,6212,344540
241,534,345010,6212,345010
242,536,345820,6212,345820
242,536,346630,6212,346630
243,538,347440,6212,347440
243,538,347710,6212,347710
243,538,348300,6212,348300
244,540,349110,6212,349110
244,540,349340,6212,349340
244,540,349810,6212,349810
244,540,350620,6212,350620
245,542,351430,6212,351430
245,542,352080,6212,352080
245,542,352310,6212,352310
246,544,353120,6212,353120
246,544,353120,6212,353120
246,544,353340,6212,353340
246,544,354150,6212,354150
246,544,354260,6212,354260
247,546,355070,6212,355070
247,546,355880,6212,355880
248,548,356690,6212,356690
248,548,357160,6212,357160
