ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1264617.38,21.22,0.72,214268.08,3.6
1264778.78,21.22,0.72,216246.27,3.63
1264762.59,21.22,0.73,216394.3,3.63
1264746.39,21.23,0.73,216488.54,3.63
1264541.42,21.23,0.73,216431.14,3.63
1264336.44,21.23,0.73,216431.14,3.63
1264131.46,21.23,0.73,216363.54,3.63
1263926.49,21.23,0.73,216357.28,3.63
1264160.92,21.23,0.74,216654.99,3.64
1264394.22,21.24,0.74,216400.35,3.64
1264517.46,21.24,0.75,216467.85,3.64
1264312.48,21.24,0.75,216410.45,3.64
1264107.51,21.24,0.75,216410.45,3.64
1263902.53,21.25,0.75,216353.05,3.64
1263697.56,21.25,0.75,216353.05,3.64
1263492.58,21.25,0.75,216354.63,3.64
1262768.62,21.24,0.74,215577.03,3.63
1262389.21,21.23,0.73,215366.18,3.62
1262184.24,21.23,0.73,215307.19,3.62
1262184.24,21.23,0.73,215307.19,3.62
1262168.04,21.23,0.74,215577.99,3.63
1262677.39,21.25,0.75,215545.75,3.63
1262472.41,21.25,0.75,215488.35,3.63
1262472.41,21.25,0.75,215488.35,3.63
1262267.43,21.25,0.75,215488.35,3.63
1265286.12,21.3,0.8,217164.52,3.66
1265081.15,21.3,0.8,217166.11,3.66
1264876.17,21.3,0.8,217107.12,3.66
1264876.17,21.3,0.8,217107.12,3.66
1264876.17,21.3,0.8,217107.12,3.66
1263236.37,21.3,0.8,217082.75,3.66
1263455.39,21.31,0.81,216760.19,3.66
1262745.71,21.3,0.8,216050.51,3.64
1262745.71,21.3,0.8,216050.51,3.64
1262540.74,21.3,0.8,216065.8,3.64
1263119.18,21.31,0.81,216097.01,3.65
1261479.37,21.31,0.81,216093.77,3.65
