ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
257,578,430940,6212,430940
258,580,431940,6212,431940
258,580,431940,6212,431940
258,580,432410,6212,432410
258,580,432880,6212,432880
258,580,433110,6212,433110
259,582,434110,6212,434110
259,582,435110,6212,435110
260,584,435580,6212,435580
260,584,436580,6212,436580
261,586,437580,6212,437580
261,586,438390,6212,438390
262,588,439390,6212,439390
262,588,439860,6212,439860
262,588,440020,6212,440020
262,588,441020,6212,441020
263,590,442020,6212,442020
263,590,442490,6212,442490
264,592,443490,6212,443490
264,592,444140,6212,444140
265,594,445140,6212,445140
265,594,445790,6212,445790
265,594,445790,6212,445790
266,596,446600,6212,446600
266,596,446920,6212,446920
266,596,447920,6212,447920
266,596,448150,6212,448150
267,598,449150,6212,449150
267,598,450150,6212,450150
267,598,450620,6212,450620
267,598,450730,6212,450730
267,598,450730,6212,450730
268,600,451200,6212,451200
268,600,452200,6212,452200
268,600,452570,6212,452570
268,600,452570,6212,452570
269,602,453030,6212,453030
269,602,453030,6212,453030
269,602,454030,6212,454030
269,602,454030,6212,454030
270,604,454840,6212,454840
270,604,455650,6212,455650
271,606,456460,6212,456460
271,606,457460,6212,457460
272,608,458460,6212,458460
272,608,459460,6212,459460
272,608,459460,6212,459460
273,610,460270,6212,460270
273,610,461270,6212,461270
274,612,461920,6212,461920
274,612,462240,6212,462240
275,620,470240,6212,470240
275,620,471240,6212,471240
276,622,472240,6212,472240
276,622,473240,6212,473240
277,624,474050,6212,474050
277,624,474050,6212,474050
277,624,474050,6212,474050
277,624,475050,6212,475050
278,626,476050,6212,476050
278,626,477050,6212,477050
279,628,477520,6212,477520
279,628,478520,6212,478520
280,630,479520,6212,479520
280,630,480520,6212,480520
281,632,481520,6212,481520
281,632,481980,6212,481980
281,632,482790,6212,482790
282,634,483790,6212,483790
282,634,484600,6212,484600
282,634,484650,6212,484650
282,634,485090,6212,485090
283,636,485680,6212,485680
283,636,486490,6212,486490
284,638,487490,6212,487490
284,638,487490,6212,487490
