ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1559592.73,26.04,0.43,203015.15,3.39
1559386.53,26.04,0.43,203009.77,3.39
1559505.08,26.04,0.43,202996.8,3.39
1559505.08,26.04,0.43,202971.98,3.39
1559298.88,26.04,0.43,203218.52,3.39
1558745.88,26.04,0.43,203258.93,3.4
1558540.92,26.04,0.43,203047.71,3.39
1558768.44,26.05,0.44,203134.97,3.39
1558562.24,26.05,0.44,203329.69,3.4
1558544.08,26.05,0.44,203429.65,3.4
1558337.89,26.05,0.44,203432.56,3.4
1558131.69,26.05,0.44,203357.43,3.4
1557925.49,26.05,0.44,203351.88,3.4
1557907.33,26.06,0.44,203451.84,3.4
1557907.33,26.06,0.44,203478.89,3.4
1557889.17,26.06,0.44,203629.0,3.41
1557305.68,26.05,0.44,203046.16,3.4
1557079.79,26.05,0.44,202886.36,3.39
1556873.59,26.05,0.44,202829.85,3.39
1556873.59,26.05,0.44,202829.85,3.39
1556873.59,26.05,0.44,202816.88,3.39
1557101.11,26.06,0.44,203155.38,3.4
1557082.95,26.06,0.44,203255.34,3.4
1557085.12,26.06,0.44,203272.75,3.4
1556878.92,26.06,0.44,203275.65,3.4
1556735.25,26.06,0.44,203194.61,3.4
1556529.05,26.06,0.44,203191.3,3.4
1556322.86,26.06,0.44,203113.93,3.4
1556116.66,26.06,0.44,203110.77,3.4
1556116.66,26.06,0.44,203110.77,3.4
1556434.62,26.07,0.45,203558.76,3.41
1556118.29,26.07,0.44,203211.78,3.4
1555912.1,26.07,0.44,203208.47,3.4
1555912.1,26.07,0.44,203208.47,3.4
1556030.64,26.07,0.45,203445.36,3.41
1556012.48,26.08,0.45,203545.32,3.41
1553928.03,26.08,0.45,203490.2,3.41
1553663.48,26.08,0.45,203468.13,3.41
1553457.28,26.08,0.45,203452.87,3.42
1553251.08,26.08,0.45,203377.74,3.41
1553369.62,26.08,0.46,203686.45,3.42
1553163.43,26.08,0.46,203611.08,3.42
1553390.95,26.09,0.46,204028.38,3.43
1553184.75,26.09,0.46,203971.86,3.43
1552928.45,26.09,0.46,203866.22,3.43
1552722.26,26.09,0.46,203842.06,3.43
1552516.06,26.09,0.46,203838.75,3.43
1552309.86,26.09,0.46,203761.39,3.42
1552089.82,26.09,0.46,203549.78,3.42
1551883.62,26.09,0.46,203474.65,3.42
1551677.42,26.09,0.46,203469.1,3.42
1551659.26,26.09,0.46,203569.06,3.42
1551641.1,26.1,0.46,203756.64,3.43
1551267.38,26.09,0.46,203394.04,3.42
1551061.19,26.09,0.46,203318.6,3.42
1550854.99,26.1,0.46,203313.37,3.42
1550648.79,26.1,0.46,203310.21,3.42
1550442.59,26.1,0.46,203232.69,3.42
1550442.59,26.1,0.46,203232.69,3.42
1550651.94,26.1,0.46,203159.69,3.42
1550879.46,26.11,0.47,203988.32,3.43
1550998.0,26.11,0.47,203975.36,3.43
1550998.0,26.11,0.47,203975.36,3.43
