ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
204,442,396800,6212,396800
205,444,397800,6212,397800
205,444,398030,6212,398030
205,444,398030,6212,398030
206,446,399030,6212,399030
206,446,399840,6212,399840
207,448,400840,6212,400840
207,448,401840,6212,401840
208,450,402160,6212,402160
208,450,403160,6212,403160
208,450,403160,6212,403160
209,452,404160,6212,404160
209,452,404970,6212,404970
209,452,405520,6212,405520
209,452,405520,6212,405520
209,452,405680,6212,405680
210,454,406000,6212,406000
210,454,406810,6212,406810
210,454,407280,6212,407280
211,456,408280,6212,408280
211,456,409090,6212,409090
212,458,409560,6212,409560
212,458,410020,6212,410020
212,458,411020,6212,411020
213,460,412020,6212,412020
213,460,413020,6212,413020
214,464,413240,6212,413240
214,464,413240,6212,413240
214,464,414240,6212,414240
215,472,422240,6212,422240
215,472,423240,6212,423240
215,472,424050,6212,424050
215,472,424050,6212,424050
215,472,425050,6212,425050
215,472,426050,6212,426050
215,472,426270,6212,426270
216,474,426920,6212,426920
216,474,427920,6212,427920
217,476,428920,6212,428920
217,476,429920,6212,429920
218,478,430570,6212,430570
218,478,431380,6212,431380
219,480,432380,6212,432380
219,480,433030,6212,433030
219,480,433500,6212,433500
219,480,433500,6212,433500
220,482,434310,6212,434310
220,482,434780,6212,434780
220,482,435250,6212,435250
221,484,435720,6212,435720
221,484,436190,6212,436190
221,484,437000,6212,437000
222,486,438000,6212,438000
222,486,438320,6212,438320
222,486,439320,6212,439320
223,488,440130,6212,440130
223,488,440600,6212,440600
223,488,441600,6212,441600
223,488,441920,6212,441920
224,490,442730,6212,442730
224,490,442890,6212,442890
225,492,443890,6212,443890
225,492,444540,6212,444540
225,492,444540,6212,444540
226,494,445540,6212,445540
226,494,446010,6212,446010
226,494,447010,6212,447010
226,494,447330,6212,447330
227,498,448330,6212,448330
227,498,449330,6212,449330
227,498,449700,6212,449700
227,498,450700,6212,450700
