ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1744069.24,28.87,0.38,195170.22,3.23
1743775.63,28.87,0.38,195171.67,3.23
1743896.87,28.88,0.39,195146.84,3.23
1743573.31,28.88,0.39,195187.5,3.23
1743249.74,28.88,0.39,195156.49,3.23
1742864.94,28.87,0.38,195137.59,3.23
1742647.9,28.87,0.38,195132.08,3.23
1742434.73,28.87,0.38,195116.58,3.23
1742307.15,28.88,0.38,194943.33,3.23
1741993.58,28.88,0.38,194939.1,3.23
1741636.49,28.87,0.38,194649.83,3.23
1741328.68,28.87,0.38,193766.35,3.21
1741007.44,28.87,0.38,194257.51,3.22
1740698.85,28.87,0.38,194263.91,3.22
1740430.68,28.87,0.38,194267.21,3.22
1740132.55,28.87,0.38,194234.62,3.22
1739970.79,28.87,0.38,193585.81,3.21
1739639.35,28.87,0.38,193129.17,3.21
1739639.35,28.87,0.38,194095.11,3.22
1739354.26,28.87,0.38,194146.7,3.22
1739021.28,28.87,0.38,194150.59,3.22
1738727.02,28.87,0.38,194288.42,3.23
1738429.75,28.87,0.38,193978.14,3.22
1738309.27,28.87,0.38,193770.78,3.22
1738188.79,28.87,0.38,193239.15,3.21
1738387.48,28.88,0.39,193227.05,3.21
1738538.68,28.88,0.39,193234.05,3.21
1738538.68,28.88,0.39,193285.66,3.21
1738329.38,28.88,0.39,193074.93,3.21
1737944.58,28.87,0.39,193046.53,3.21
1737751.92,28.87,0.38,193167.13,3.21
1737498.34,28.87,0.38,193966.52,3.22
1737363.01,28.87,0.39,194001.44,3.22
1737039.44,28.87,0.39,193979.12,3.22
1736904.11,28.87,0.39,193965.84,3.22
1736904.11,28.87,0.39,193965.84,3.22
1737027.68,28.88,0.39,193958.03,3.22
1736703.34,28.88,0.39,194195.7,3.23
1736379.78,28.88,0.39,194179.57,3.23
1736242.9,28.88,0.39,194711.42,3.24
1735949.93,28.88,0.39,194464.26,3.24
1735664.85,28.88,0.4,192903.03,3.21
1735280.04,28.88,0.39,192811.53,3.21
1734986.44,28.88,0.39,192816.57,3.21
1734851.11,28.88,0.39,192798.47,3.21
1734582.93,28.88,0.39,192795.04,3.21
1734799.38,28.88,0.4,192905.78,3.21
1734799.38,28.88,0.4,192884.52,3.21
1734770.3,28.89,0.4,193273.8,3.22
1734634.97,28.89,0.4,193259.19,3.22
1734634.97,28.89,0.4,193663.93,3.23
1734311.4,28.89,0.4,193687.46,3.23
1734013.28,28.89,0.4,193657.95,3.23
1733790.97,28.88,0.4,193626.81,3.23
1733145.39,28.88,0.4,193774.62,3.23
1733145.39,28.88,0.4,193789.83,3.23
1733039.5,28.89,0.4,193353.43,3.22
1733039.5,28.89,0.4,193338.22,3.22
1732751.31,28.89,0.4,192660.62,3.21
1732369.65,28.88,0.4,192448.69,3.21
1732182.15,28.89,0.4,192338.14,3.21
1731858.59,28.88,0.4,192223.94,3.21
1731533.48,28.88,0.4,192518.16,3.21
1731239.22,28.88,0.4,193241.32,3.22
1731133.33,28.89,0.41,192804.92,3.22
1730909.14,28.88,0.4,192544.26,3.21
1730721.65,28.88,0.4,192433.7,3.21
1730413.71,28.88,0.4,192321.95,3.21
1730105.77,28.88,0.4,192886.99,3.22
1730105.77,28.88,0.4,192886.99,3.22
1729797.83,28.88,0.4,192811.96,3.22
1729825.17,28.89,0.41,192803.74,3.22
1729825.17,28.89,0.41,192796.1,3.22
1729525.24,28.89,0.41,193045.38,3.22
1728892.45,28.89,0.41,193119.5,3.23
1728686.45,28.88,0.41,192905.95,3.22
1728846.17,28.89,0.41,193177.43,3.23
